"","sample_id","10.10_propan-1-ol","10.73_butanal","10.81_butane-2,3-dione","11.08_ethyl acetate","11.09_butan-2-one","11.35_butan-2-ol","11.68_methyl propanoate","11.71_chloroform","12.51_2-methylpropan-1-ol","12.53_2-methylpropane","13.10_3-methylbutanal","13.36_acetic acid","13.39_2-methylbutanal","13.83_3-methylbut-3-en-2-one","14.00_butan-1-ol","14.19_1-ethenylaziridine","14.51_pentan-2-one","14.55_S-methyl ethanethioate","14.58_1-sulfanylpropan-2-one","14.63_ethyl propanoate","14.72_Pentanal","14.72_pentane-2,3-dione","14.83_propyl acetate","15.14_methyl butanoate","16.41_ethyl 2-methylpropanoate","16.54_4-methylpentan-2-one","16.55_(methyldisulfanyl)methane","16.67_3-methylbutan-1-ol","16.89_propanoic acid","16.95_3-methyl-2,3-dihydrofuran","17.00_octane","17.02_toluene*","17.10_3-methylpentan-2-one","17.23_methyl 2-methylbutanoate","17.50_2-methylpent-1-en-3-one","18.12_ethyl butanoate","18.17_hexane-2,3-dione","18.23_hexan-3-one","18.49_propyl propanoate","18.56_hexan-2-one","18.73_hexane-3,4-dione","18.74_butyl acetate","18.84_hexanal","19.04_2-methylpropanoic acid","19.14_methyl pentanoate","20.01_ethyl 2-methylbutanoate","20.13_butanoic acid","20.15_heptan-3-one","20.53_1-cyclopropylpropan-1-one","20.73_2-methylpropyl propanoate","20.78_Ethylbenzene**","20.84_Nonane","21.25_5-methylhexan-2-one","21.38_furan-2-carbaldehyde","21.49_3-methyl-1H-indole**","21.56_(E)-hex-2-enal","21.60_2-methylhexan-3-one","21.78_hexan-1-ol","21.86_propyl butanoate","21.94_ethyl pentanoate","22.16_3-methylbutanoic acid","22.23_Styrene","22.24_butyl propanoate","22.39_2-methylbutanoic acid","22.46_heptan-2-one","22.52_pentyl acetate","22.66_3-isothiocyanatoprop-1-ene","22.77_heptanal","22.88_(3S)-3,7-dimethylocta-1,6-diene","22.91_methyl hexanoate","23.02_2,6,6-trimethylbicyclo[3.1.1]hept-2-ene","23.42_3-(methyldisulfanyl)prop-1-ene","23.65_propyl 2-methylbutanoate","23.66_pentanoic acid","23.84_S-methyl 3-methylbutanethioate","23.98_2-methylpropyl butanoate","24.11_3-methylsulfanylpropanal","24.22_2-methyl-6-methylideneoct-2-ene","24.35_methyl 2-methylpentanoate","24.45_(6E)-2,6-dimethylocta-2,6-diene","24.51_decane","24.61_2,2,4,6,6-pentamethylheptane","24.69_4-methyl-1-propan-2-ylbicyclo[3.1.0]hex-2-ene","24.76_6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane","24.76_7-methyl-3-methylideneocta-1,6-diene","24.84_6-methylheptan-2-one","25.14_2-pentylfuran","25.26_5-methylheptan-2-one","25.27_(2E,4E)-3,7-dimethylocta-2,4-diene??","25.44_butyl butanoate","25.47_(Z)-hept-2-enal","25.53_ethyl hexanoate","25.70_2-methyl-5-propan-2-ylcyclohexa-1,3-diene","25.79_octan-3-one","25.85_(methyltrisulfanyl)methane","25.95_4-methylpentanoic acid","26.00_6-methylhept-5-en-2-one","26.11_octan-2-one","26.14_benzaldehyde","26.45_Octanal","26.49_methyl heptanoate","26.56_(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene","26.69_1-methyl-4-propan-2-ylbenzene","26.93_hexanoic acid","27.02_butyl 2-methylbutanoate","27.12_1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane","27.16_1-methoxy-4-methylbenzene","27.16_butyl 3-methylbutanoate","27.19_2-methyl-4,5-dihydro-1,3-oxazole","27.48_1-methyl-4-propan-2-ylcyclohexa-1,4-diene","27.93_undecane","28.11_2,2,6-trimethylcyclohexan-1-one","28.46_methyl cyclohexanecarboxylate","28.55_Phenol","28.71_thiolan-2-one","28.81_propyl hexanoate","28.90_ethyl heptanoate","29.14_2-phenylacetaldehyde","29.22_3-(4-methylpent-3-enyl)furan","29.55_nonan-2-one","29.72_3,7-dimethylocta-1,6-dien-3-ol","29.81_methyl octanoate","29.89_nonanal*","29.90_1-phenylethanone","30.08_Heptanoic acid","30.22_pentyl 2-methylbutanoate","30.39_pentyl 3-methylbutanoate","30.61_2-methylpropyl hexanoate","30.62_2-methoxyphenol","30.76_ethyl cyclohexanecarboxylate","31.14_dodecane*","31.35_4-methylphenol","31.39_cyclohexa-1,4-diene","31.90_hexyl butanoate","31.91_butyl hexanoate","32.03_ethyl octanoate","32.04_cyclohexanecarboxylic acid","32.13_1-phenylpropan-2-one","32.66_6-methyloxan-2-one","32.67_1,3,4-oxadiazole","32.69_decan-2-one","32.72_4-methyl-1-propan-2-ylcyclohex-3-en-1-ol","32.81_1-Methyl-4-isopropyl-cyclohexyl 2-hydroperfluorobutanoate","32.84_methyl 2-phenylacetate","32.98_octanoic acid","33.05_Decanal","33.34_2-(4-methylcyclohex-3-en-1-yl)propan-2-ol","33.73_methyl 2-hydroxybenzoate","33.87_propyl cyclohexanecarboxylate","33.91_1,3-ditert-butylbenzene","34.19_4-ethylphenol","34.80_hexyl pentanoate","34.93_undecan-4-one","35.41_2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one","35.47_3-propan-2-ylbenzaldehyde","35.56_piperidin-2-one","35.71_undecan-2-one","35.76_methyl 3-phenylpropanoate","35.98_1-methoxy-4-[(E)-prop-1-enyl]benzene","36.09_3-ethyl-4-methylpyrrole-2,5-dione","36.51_2,3,5-trimethyl-4-methylidenecyclopent-2-en-1-one","36.51_4-ethenyl-4-methyl-1-propan-2-yl-3-prop-1-en-2-ylcyclohexene","36.83_(1R,5S,6R,7S,10R)-4,10-dimethyl-7-propan-2-yltricyclo[4.4.0.01,5]dec-3-ene","36.93_tetradecane","37.30_2,4-Decadienal","37.59_2-methyl-5-(6-methylhept-5-en-2-yl)cyclohexa-1,3-diene","39.01_1H-indole","40.94_1-methyl-4-(6-methylhept-5-en-2-yl)benzene","7.10_ethanol*","7.70_propanal","7.86_propan-2-one","7.97_methylsulfanylmethane","8.07_propan-2-ol","8.25_carbon disulfide","8.40_methyl acetate","8.46_acetonitrile","9.55_2-methylpropanal"
"21","57A",5136640,,6558976,,31396864,2624256,,,,,70131712,,32413696,2524672,,,12540928,8799232,,,,6125312,,,,,433471488,,13869056,,2669056,6202112,,,3232768,,3191040,,,7312640,,,10130432,7856640,,,113774592,,,,812992,969024,,,,,,,565888,,35258368,7097600,,28110848,6668032,,,3467008,,,2587648,,,41775104,30209024,,5936384,,,,,1919872,,4181760,,1268608,1903808,,,,,,,,257966080,,12787712,2318592,11222016,4315648,,239632384,2499840,,,,,,,,1563968,,,,,,,62033920,,3006464,1037056,,6396416,487136,,,,,,,,674037760,84910080,,,,,447696,,,1138752,,,,,,,,,,,,,,,,1378560,,,,,,,,,,261111808,,7720192,,9724928,1735424,,,,,8705024
"22","61A",39493632,983168,16118784,27061248,,2329088,,,,,20893696,42643456,22512640,4311808,11383808,,29283328,,,6669312,,15778816,10507264,4234240,,3983360,,,42356736,,,1772864,2735872,,7455232,43716608,50642944,,,6465280,2379008,10684416,6676480,17661952,,,717160448,,,,,,,,176799744,,3496704,,7033088,3875584,52420608,7817728,,37117952,24978432,,,3560704,,,,,,151879680,,,4575744,,,,,,,10994688,10994688,4181504,,7903488,,10303488,,,13790208,,,,20419584,3271936,23980032,2687744,,78249984,26011648,,1373504,,,,,3462656,,,,10852352,716800,,,57528320,,7023872,1381184,,1846400,,,,,,,,,1244397568,,,,,,,,,,,,,,516608,,,,,,,,,,,1730176,,,,,,,,,,658046976,,169115648,,13453312,,,1015168,,,3567872
"23","63A",5531392,,8896512,,12988416,2372352,276848,,420944,,83660800,19891200,46837760,3922944,,,17849344,,,,,8342528,,1412160,,4297216,,,39677952,,4649984,1228096,4375296,,6044928,,9669632,,,3659520,,,6462720,8528896,1039104,,388202496,,,,,,1803008,,,,,,,,30365696,10240000,,19640320,17233920,,4606720,2134016,3226624,3779072,,,,217923584,,,10823680,,,,,,,154386432,,,1036288,3635968,,,2029632,,889782272,,,,20774912,5351424,19183616,3681280,,586350592,136052736,249872384,,2512384,,,,41029632,,,,7789824,,,,134709248,,3717632,3749888,,3617280,,5903360,,,,,,490992,196591616,,,,,,1234688,,,,581632,,,,,,4656640,,,,,,1718144,,,1176384,,,,,12037120,,,,637184,198393856,,8602624,,23570432,398480,,,,,14526464
"24","65A",34443264,,12220416,9953280,,2370816,,,,,106033152,9520128,56172544,2729728,,,4473856,,,,6870272,11158528,6193920,2711040,,,1197888,,24372224,432912,,,,,2563584,8527872,10292224,,,2006656,,,22046720,7544576,995648,,174768128,,,,352352,,1987072,404272,,430496,,,912704,,14422016,7656192,,6840320,6615296,,2284288,3168000,,,25411584,,,34344960,7180032,,8087296,,,,,,,8818688,9169920,2473984,,6974208,,,2502400,,17920000,,,,6474752,1144576,7693056,1140544,,179863552,13981696,,,678656,,,,966656,,,,76881920,1518528,,,66965504,,1176512,2781440,,1123008,,,,,,,536640,,123432960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488032,,,,89473024,,35823616,,6408448,,3002112,1107072,2090944,,13794304
"25","71A",105308160,,5378048,17008640,,,1998464,,,,31864832,15664128,14218240,2140672,,,,,,13367296,,,14203904,2659328,,6305024,,,137723904,,,,8861696,,3077888,11678720,,,20516864,,,,17759232,13904896,,,378322944,,,,,,2280960,474192,62808064,,,,4974848,,78540800,52453376,,37588992,9648128,,,4439296,,,,,,19595264,3059456,,5992192,,,,1207936,,1462016,41402368,,,1396736,4645120,,,1896256,,1444288,,,,23211008,3118592,12469248,2155264,,317751296,2428160,,,1328192,,,,1170432,,,3176704,723124224,,,,75403264,,2073216,2905600,,1979776,1014592,,,,,,2713856,1412480,31071232,,,,,11383808,,,,,,,,,,,1328832,1358272,,,,,,,1035520,,,,729216,,,,,,,329515008,,82886656,,3834624,,3428608,966784,2069440,,5850112
"26","79A",5900032,672384,5652224,,68894720,1624896,,,1592384,,51056640,15474688,24202240,1547968,,,21970944,,,,,9202688,,,,,198524928,,40718336,,,54411264,4033280,1198784,1659328,3943680,3699456,,,15447040,,,3316992,50106368,783616,,318865408,1827392,,590592,,1039360,,,2066496,,2055808,,599680,788608,181764096,33255424,,136019968,,,,1703744,9038848,,29128704,,,254345216,,1494656,5724672,,,,1653568,,2132736,,,5754112,2543872,,,1139456,,,4726784,,155451392,,27106304,4683264,7168000,1039296,,32057344,3364096,,837056,937216,1193280,,,3854848,,,,5383936,403488,,,74641408,,5094400,,,1561152,979904,,,,,,,1913408,1199505408,1019150336,,,,,2794496,,,1007424,,,1820096,,,,,,,,,,,,,2809088,,460224,,,,1609984,1038464,,,703201280,5310976,8352768,817984,98992128,33267712,,1732352,,,7208960
"27","81A",5555712,,10566656,8790016,,1037952,,,,,35880960,4571392,15795200,1881472,,,3056640,3239936,,,,20737024,,,,,158810112,,17811456,,,4568832,,750848,,1573568,,643456,,1662656,,,3945728,4685568,,,121757696,,,,,,1564224,,8132096,,,,,613376,21425152,11894784,,14555136,7611904,,2041536,2429184,1657664,1115072,21312512,,,128888832,,,5062144,,,,797696,,,20501504,2179584,1523776,1377920,1928960,1752064,,1199488,1343936,4103424,4481280,128782336,,15002624,5328640,6412288,1965120,,37068800,6446848,,,,,,,3356928,876800,,,22509568,1548992,,627520,48566272,,2007744,1197888,,1630848,1112000,4317952,,,,,,946112,1097072640,,,,,,1747008,,,747520,,,,,,,950592,,,,,,,,,1681152,,,,,665408,,1262208,,,553844736,,53817344,,9498624,885312,6421504,,,,4398848
"28","83A",,304928,12900352,,28887040,1933760,,,,,67026944,,34455552,1119360,,,28141568,,,,,25008128,,,,,120201216,,14316544,,,2338816,,,2788864,,1712256,,,8195584,,,5018368,4300544,,,58683392,5771520,,,,,,364304,23218176,,,,,,28986368,32979968,,15639552,25342976,,,3563008,,,4898560,,,54632448,,,9284608,,,,1997632,,1105664,4141056,1463744,,2297600,1233088,,,1143552,,,,57368576,,18615296,,35221504,2753280,,99086336,9177088,,,,893696,,,12643328,,,,25447424,,,,91033600,,4621824,606656,,2020864,1361024,4183552,,,,,,2991872,2433744896,,,,,,1409472,,278528,1087104,,,,,,660096,,,,,,,,,,1631872,,,,,,,1396864,,,606601216,,9108480,,33648640,895424,,,,,10035200
"29","85A",5362944,399008,12257280,,18035712,,,,831232,,45752320,5329664,20563968,,,,5414912,4702976,,,,11154432,,904192,,,53862400,,33808384,,,7499776,3611648,,2019904,3141120,,,,6550528,,,8681472,26777600,,,232161280,,,,,,1722880,,,,846848,,1708544,,119246848,21905408,,93761536,7745280,,,2489856,1875328,,22628352,,,166772736,40599552,,9780224,,,,1838912,,,17871872,,,6135808,2038528,,1092928,1431040,,19131392,,32915456,,12393472,4129792,6087168,1810752,,522027008,42401792,,,1867008,,,,9120768,650944,,,128167936,919424,,,51818496,,2967808,440336,,1966912,633728,,,,,,,1166144,1416626176,425656320,,,,,1253888,,,1463680,,,,,,,,,,5570304,,,,,,1002304,,,,,763136,,1521152,,656960,699269120,,31935488,,12470272,20327424,,,,,5414912
"30","87A",6142976,616768,17277952,,16951296,2081280,,,,,25523200,33073152,17501184,4713472,,,29375488,,,,4860928,,,3544576,,,87465984,,49745920,,1949312,,2401536,1315840,8671232,,6350336,,,5703168,,,10343424,45387776,1914112,,556859392,,,,,,,,279887872,,,,1083072,,167460864,15691776,,123142144,36081664,,,4712960,,7733760,,4697600,,,,,5634816,1122240,,1390336,,10670080,,,42782720,,12904448,3172608,,,3644416,,25735168,,58769408,,47181824,6228736,9153536,4126720,2148352,169852928,155287552,629080064,,,,,,291602432,1158144,,,25413632,1227456,,,59527168,,8283392,5743872,,3308288,880064,43315200,,,,,,2001984,650772480,170213376,4791296,,,5905920,,,,1066880,934784,,,4043776,1358784,2536704,6985216,,,,,,,,,1750720,,,,,1850496,812864,,,,444186624,,9090048,635072,32117760,942528,,,,,3424768
"31","91A",183599104,,24955904,13294592,,2193408,903808,,,,23601152,40271872,20385792,,,,4343552,,,3767296,,18496512,10648576,1522880,,5167360,,,216023040,,,2293248,6278400,,,5430784,,,12309504,6387200,11342848,,7976192,20898816,1099968,,411959296,,,,,,7619328,,237060096,,,,6049792,,91095040,43880448,,24772608,15411200,,,5266176,,,1556224,,,269893632,4400384,,5421312,,,,,,,6385152,1328832,7916800,,25219072,,,3555328,,15090688,,,,9127936,11058176,17319936,2648576,,19742720,3095040,,,2415360,,,,1507648,,,1187072,9143296,,,,43507712,,5693184,11619328,,3065600,974720,,,,,,1545664,590528,42782720,,,,,32969728,,,,5414912,,,,,,547008,5425408,1490112,,,,,,,859264,1531712,,,333984,,,,,,,1438187520,,76787712,,5243136,,,,1637120,,3207936
"32","95A",,,25235456,,27999232,,,,,,114065408,,56487936,2776320,,,7649024,,,,,97906688,,,,,97681408,1596288,,,2488320,3256576,,,5168384,,3886848,,,3850752,,,6420480,,,,4696576,,,,800128,,,,36904960,,,,,,4962304,61210624,,,5742080,,,1882624,,,11669504,,,,2134272,,9662464,,,,2279936,,,16031744,,,,,,,,,12279808,,16212992,,23648256,2183936,19563520,1239232,,24112128,5921024,,,2017792,1015552,,,,,,,,,,,97443840,,1737856,2285568,,1108160,,,,,,,,4073216,1521680384,441876480,,,,,,,,,,,,,,,,,,,,,,,,1850304,,,,,1843264,,1244992,,,181616640,,28523520,2029376,26088448,8848384,,1035392,,,17082368
"33","101A",,542912,9709568,,261505024,1939904,,,,,36794368,3976960,20114432,1784320,,,12331008,,,,9007104,7035904,,,,,909696,,16344064,,7437568,3070976,,,2907648,,,,,5762048,,,20611072,16051200,,,104079360,572608,,,,1203136,,,,487920,,,,,98988032,20621312,,65232896,8783872,,,5389568,4427776,,11640832,,,136167424,,,5721856,15005696,,45563904,2687232,,2043712,13775872,,,7111680,,,,,,1818048,,,,17613824,3769600,10120192,5692672,,1011482624,71741440,,,,1867712,,,147505152,1883072,,,,,,,45039616,,1085376,,,6561280,447072,1154048,,,,,,3141888,1343356928,,,,,,,,,,,,,,551744,,,,,1099072,,,,,,,,,,,389936,,3289856,,,41627648,,8616960,,126087168,,3183360,2231040,,,11289600
"34","105A",5889280,,24785920,,19615744,,,,,,57266176,6734592,27139072,2443520,,,7012096,,,,,47988736,,,,,15874048,,19396608,,,4039168,,,4177664,,3076608,,,5943552,,,3289856,10259456,,,120893440,,,,,1371776,1634496,,8481792,,,,,,62738432,42844160,,44994560,7314944,,,2480384,2075712,,13034496,,,109871104,,,7890944,,,,1155328,,,17459200,1259328,,710336,1090048,516544,,965824,,13096960,,,,11496448,,12411904,1254528,,35966976,8363520,,,4322816,,,,1655424,,,,48431104,,,,89407488,,1861504,1763328,,1518144,953344,,,,,,,1536640,2307653632,759169024,,,,,1530944,,,,,,,,,,,,310624,1237376,,,,,,938432,,,,,489744,,740032,,,1049493504,,10281984,,21103616,17977344,,,,,7712000
"35","107A",4626176,,9777152,,10526720,910016,,,,,49500160,,19004416,1065600,,,4555520,,,,,8861696,,1235584,,,4510720,,9910272,,,4601600,,369824,1393280,2192384,3362048,,,2673408,,,3534848,,873664,,48656384,,,,,,1389760,,,229536,,,,,7257088,37683200,,6418176,4993024,,2181632,2433280,,,920704,,,19533824,4031488,,5390592,,,,1503552,,928832,,,2277120,,4242688,,,,,,,1373952,,8930304,,15521792,3481856,,11053056,1986752,,,,,,,1201280,,,2785024,300875776,,,,63827968,,2105856,838592,,1456896,779008,,,,,,507648,4620544,975699968,,,,,1514048,801344,,,,,,,,,,,,,,,,,,,1056768,,,,,,,1244416,,,579731456,,13891584,,13619200,2823680,,1780736,,,5705216
"36","109A",62382080,,3662336,15788032,,,,,,,14666752,61882368,26342400,,,,4069632,,,10860544,,,9904128,2963968,1759936,,505680,,134987776,,,714368,,,,56467456,,,10467328,,,7108864,2972160,32806912,,,1160380416,,,,,,,958720,,,,,37736448,14248960,160268288,29341696,,69062656,,3688192,,1916736,,,1362496,,,658309120,8393728,,3077376,,681984,,,,,1156160,1146176,,818944,,,17674240,,,,,,8771584,6337280,,10100736,2641408,,4775424,3081472,,1588736,1531456,,,,3898368,,,,24406016,,,,32119808,,2270208,525568,,1296576,,,,,,,1552512,852544,907214848,,,,,50745344,,,,,,,,,,1390144,2098944,681536,,,,,,,,1203840,,,1295296,,,,,,,326746112,,153370624,,5892608,,5551872,,,,2167296
"37","111A",78540800,405600,6120448,17060864,,,2174464,,,,28147712,19067904,12293120,2009728,,,9322496,,1042816,3080960,3960064,5204480,11874304,4056064,,,13096960,,52572160,,,,2540288,810048,3547136,6494464,,,8125184,4911616,,2952960,3482112,21347328,3276544,,358367232,,,,,,2900224,,3365632,,,,8151808,4163072,102780928,32662528,,55136256,15886336,,,2022464,,3674880,,,,,2535936,,5658880,,,,881984,,,14978048,,5756160,,5207040,,2040000,,1888064,30976000,,9518080,,17416192,7902464,15465472,2075072,,69013504,15439872,132464640,,,,,,1002496,,,,27509760,1394432,1800704,586176,70131712,,6342400,1097664,,1509120,,7109888,,,,,1289792,882048,1162346496,,,,,37601280,2641664,,,1638656,,,,,,,1077440,1002560,,,,,,,,1648192,,,,,1203392,,,,,832569344,,29173760,1158464,21710848,710016,4540928,2207744,3828224,,3133696
"38","113A",,,8192000,,13265920,,,,,,46211072,,21130240,,,,,,,,,3724544,,,,,2676480,,15661056,,,,,,,,1879168,,,,,,3101184,2980608,1269440,,61485056,1090816,,,,,,,,,1427520,,,,15997952,21675008,,12699648,6553344,,1126784,2732800,,,,,,125915136,8603648,,6588928,,,,733632,3395072,,13730816,,4281600,812864,5470208,,,1156032,,26855424,,,,11695104,3455744,11816960,1400768,,89968640,16102400,,,,315648,,,2369024,,,,37605376,1205568,,,61087744,,2308608,779520,,1825664,,,,,,,,1541376,306462720,861011968,,,,,,,,,,,,,,,1158016,,,,,,3500032,,,,,,1225408,,,,750848,,,1350696960,,8629248,,9581568,491808,,,,,5619456
"39","115A",,579520,4486400,,14972928,,,,,,25746432,19988480,11910144,2314496,,,14392320,,185088,,4125952,3736064,,2232320,,,72085504,,60940288,,1773696,705984,,934400,4358144,,,,,5832448,,,4899328,56537088,2873856,,504299520,,,,,2300160,,,484982784,,,,,,197902336,15907840,,137510912,30558208,,,3053568,,10841088,38637568,,,557842432,9313280,,5128704,,,1788032,2255616,,,31088640,,4578304,1477696,,536512,2516480,,2041920,36954112,,64876544,,31296512,10437632,8546304,5319680,4114944,162168832,35459072,,,,,,,20922368,7990272,,,21131264,905472,3088384,,51847168,,5394176,3062528,2803200,3331328,,141000704,,,468928,,,4555776,1546452992,,2517504,,,,3200768,2082688,,,,,,38563840,,,,,,4955392,604800,,,,,1013248,,,489520,,2070592,,5848320,,,418643968,,8751104,779776,18898944,560448,3662336,,,,3780608
"40","117A",,,31942656,,83456000,2809856,,,,,44654592,3802624,22366208,926848,,,28478464,,2223104,,,65785856,,,,,22812672,,13307904,,,1568448,4316416,,,,,,,4531456,,,5283328,3694592,,,116813824,,,,617792,,7165952,,,,,,,,11326464,46333952,,11973632,24173568,,,1943488,,,1207680,,,30889984,3348736,,5201408,,,,742848,,719360,1545024,1539328,,,2057664,,,1123456,,,,6782464,,15527936,,7172096,937600,,5442560,1016768,,,,,,,,,,,4509440,1065536,,,52297728,,1875456,,,769664,989888,,,,,,,690816,372080640,61829120,,,,,849024,,,,,,,,,,,,,,,,,,,844160,,,,,,,,,,34791424,,8460288,,65363968,243488,,,,,5421568
"41","119A",5595136,,4507392,,15025152,9195520,1294848,,,,96493568,4418048,37171200,1896896,,,5280256,,,,6414592,,4082688,8494080,,,3744768,,12952576,,1023104,2945792,,404192,1442112,5742336,6893056,,,1740992,,,145702912,,3777280,,119574528,,,,1369984,,,248688,,,,,3788288,1001856,5659648,23308288,,5470976,9925632,,,2627328,,,9059328,3165952,,16553984,,,8350464,,,,,,,13212672,,,4235264,716032,,3180288,,,2672640,,,,5261312,,8931328,1237952,,16536576,3679488,,,,,,,1422528,,,,110649344,1706624,,,73650176,,,663936,,1009408,,,,,,,,508736,130375680,,,,,,,,,,,,,,,,943360,,,,,,,,,,,490160,,,,,,,,80203776,,25533440,,12738560,1425856,3520768,,4602880,,8928256
"42","121A",,,2892800,,18190336,,,,,,86241280,,31441920,1564352,,,2173440,,,,3408640,2402048,,,,,759616,,,,3244800,12986368,,,,,,,,1960000,,,11112448,,,,1501312,,,,,938304,,,,,719744,,,,6594304,34463744,,6081024,5145088,,,1978624,4222720,,,,,,,,5987072,7606528,,22069248,6373376,3717632,69439488,15277056,,,2085888,,,,,,44691456,,,,15252480,,10981376,1412672,,170934272,24955904,,,694464,,,,,3130624,,,,,,,41586688,,2669312,1071360,,1652480,,,,,,,,14077952,1088749568,320307200,,,,,448272,,,,,,,,,,,,,606272,,,,,,736704,,,,,5637120,973440,2359808,,,7159296,10850304,7609088,,15606784,,,,,,11493376
"43","125A",,,8324608,,10009600,1238336,,,,,82071552,,37945344,1178944,,,5282048,,,,1577216,7738880,,,,,18400256,,12723200,,,6196992,2498560,,,,1465792,,,1154688,,,10442752,,,,19520512,1735424,,,1227904,,,,28781568,,,,,,5080064,30698496,,4390656,8264192,,,1834752,,,14302208,,,2865664,,,6739200,,,,,,1413184,9220096,5502720,,,,,347824,739328,,3600896,,,,18171904,1420736,19667968,952512,,37629952,57184256,,,2882304,,,,7778560,,,,8001280,475984,,,68276224,,950656,908992,,865600,,,,,,,,981376,1374224384,372588544,,,,,,,,,,,,,,,489136,,,,,,898688,,574336,,,,,,,,606720,,,283852800,476960,16630784,,13674496,,,,,,10889216
"44","127A",41910272,,8887296,13963264,,,,,,,16102400,34091008,15107072,,,,,,,2810112,2822912,3561216,3456768,,,1821632,,,137805824,,,,3884800,,1496192,8100864,,,5011456,,,,9631744,24340480,1355584,,453558272,,,,776512,,,,726528,,,,4303104,13987840,131538944,27358208,,53821440,6115584,,,4293888,,,,,,749010944,,,7845120,,,,,,,3186944,1411840,,1891008,2118656,,,,,2958592,,,,28097536,,13596672,2501376,,29533184,2862592,,,1343360,,,,1060096,,,,1035264,,,,26661888,,1208960,389568,,3644160,,,,,,1042496,771584,833024,5383168,,,,,10029056,,,,730176,,,,2638592,,725376,5586944,,,,,,,,1296064,,,,,,,,,,,245104640,,78954496,,6105088,,,,,,2911232
"45","131A",10979328,,6569728,11934720,,5966848,,,,,75890688,5090304,34664448,,,,18921472,,,,,5519360,,1112064,,6219776,,,17377280,,2224384,801216,4314368,,,6629888,,,,7601152,,,3788032,,,,99459072,2514176,,,616832,,,939392,,,,,,1393728,11320320,77389824,,7782144,30584832,,627968,2556928,,,,1534784,,39489536,18725888,,6115328,,,,1174400,,1160000,6888704,,3302656,2556416,4336128,,,,,4670208,,,,2479872,2676480,13687808,1113600,,20242432,4852736,,,,,,,1048128,,,,211894272,1977280,,,46735360,,21638144,688192,,1784960,452784,,,,,,,2262784,1182531584,,,,,,,,,799104,,,,,,,,,349840,,,,,,,9905152,,,1047872,,1606400,,1063808,,,466894848,,41283584,,5731584,,2711808,,,,8901632
"46","133A",15561728,1638208,5734912,,19540992,,,,,,32574464,71135232,23195648,5542656,,,10048512,,,2776576,7039232,5348096,,3450368,,,15860736,,64266240,,,,,,5434880,13598720,,,2853376,6153472,,6584320,12605440,104628224,1870976,,768212992,,,,612352,,,802688,12321792,,,,10725376,9739264,327925760,25789440,,220299264,,9214976,9324544,3789568,8144128,,,,,824770560,7661824,4695296,7428096,,,,,,,15480832,10105856,,3003136,,,31463424,,7969792,10396672,,12696576,,29328384,,13085696,4442880,,72253440,7695616,410206208,7166720,5093632,1580992,2363136,,,,,,7774720,,7705088,,52518912,521552,2690304,3471616,,6885632,,2778624,956224,971072,,,,5499904,1410596864,1300889600,9552896,,,2832128,2634496,2110720,,,,,,2490624,,640448,1799744,,,6394880,,,,,,2227456,,4829184,,,2612736,,2102016,,1710720,1480130560,514768,69201920,,21036032,786112,,1772672,,,6477312
"47","135A",18280448,1152000,12851200,25421824,,3559680,587136,,798016,,26433536,105787392,33923072,,,,59711488,,,,11549696,19684352,5899008,3913728,,,9003008,,105254912,,2650624,425648,2530048,,,6760192,,,,21142528,,6147328,31706112,80973824,2216960,,765263872,,,,,,,,,,,,7980800,,274055168,28105728,,178552832,55549952,,,7321856,,13547520,6351360,,,675807232,9548800,3631872,5131008,,,,1421888,,5496576,5795072,4740608,2627072,7844608,2834432,,15024128,,20945920,1155072,4276992,6511616,7159808,19353600,,25040896,8799232,,131784704,4543744,,,,,,,6136576,,,,46686208,,12902400,8830976,58060800,,8114688,5367808,,15960064,2842624,292093952,,,1808832,,2247680,4957184,1486553088,833355776,12290048,12817408,,21928960,4237824,2583552,,,,,,3425024,,,3633152,570304,,2126848,3154176,,,,,3513600,,,1081792,,,1417856,1922240,,,1403387904,,42418176,,24091648,,5314304,2499328,2201344,,5658112
"48","137A",,,12252160,,16035840,,,,,,182714368,,100704256,8522752,,,7742976,,,,,6620672,,,,4708608,,,14557184,,5858816,9875456,,,12601344,,4426496,,,2750720,,,20980736,,,,7585792,1928448,,,1042432,,,456320,43237376,,,,,,,78213120,,,11575296,,,4545536,,,2355456,,,5003520,1005952,,10744832,,,,1731200,,,4125952,,2304768,4686848,5606656,,,782208,,,,,,23709696,,41164800,3771392,,271499264,2361856,,,,,,,580800,,,,269697024,,,,132136960,,1854400,1000576,,2389248,,,,,,,,5545216,373063680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3609856,,,334970880,,10437632,,40136704,,,,1666048,,28753920
