"sample_id","(-)-alpha-Pinene","(2E,4E)-3,7-Dimethylocta-2,4-diene","1-Butanol","1-Hexanol","1-Propanol","1-Propanol, 2-methyl-","1-Propanone, 1-cyclopropyl-","1,3-Cyclohexadiene, 5-(1,5-dimethyl-4-hexenyl)-2-methyl-, [S-(R*,S*)]-","10.73_butanal","10.81_butane-2,3-dione","11.08_ethyl acetate","11.09_butan-2-one","11.35_butan-2-ol","11.68_methyl propanoate","11.71_chloroform","12.53_2-methylpropane","13.10_3-methylbutanal","13.36_acetic acid","13.39_2-methylbutanal","13.83_3-methylbut-3-en-2-one","14.19_1-ethenylaziridine","14.51_pentan-2-one","14.55_S-methyl ethanethioate","14.58_1-sulfanylpropan-2-one","14.63_ethyl propanoate","14.72_Pentanal","14.72_pentane-2,3-dione","14.83_propyl acetate","15.14_methyl butanoate","16.41_ethyl 2-methylpropanoate","16.54_4-methylpentan-2-one","16.55_(methyldisulfanyl)methane","16.67_3-methylbutan-1-ol","16.89_propanoic acid","16.95_3-methyl-2,3-dihydrofuran","17.00_octane","17.02_toluene*","17.10_3-methylpentan-2-one","17.23_methyl 2-methylbutanoate","17.50_2-methylpent-1-en-3-one","18.12_ethyl butanoate","18.17_hexane-2,3-dione","18.23_hexan-3-one","18.49_propyl propanoate","18.56_hexan-2-one","18.73_hexane-3,4-dione","18.74_butyl acetate","18.84_hexanal","19.04_2-methylpropanoic acid","19.14_methyl pentanoate","1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-","2-Decanone","2-Furancarboxaldehyde","2-Heptanone","2-Heptanone, 5-methyl-","2-Heptenal, (Z)-","2-Methylbutanoic Acid","2-Methylpropyl butanoate","2-Nonanone","2-Octanone","2-Octene, 2-methyl-6-methylene-","2-Pentylfuran","2-piperidinone","2-Undecanone","20.01_ethyl 2-methylbutanoate","20.13_butanoic acid","20.15_heptan-3-one","20.73_2-methylpropyl propanoate","20.78_Ethylbenzene**","20.84_Nonane","21.25_5-methylhexan-2-one","21.49_3-methyl-1H-indole**","21.56_(E)-hex-2-enal","21.60_2-methylhexan-3-one","21.86_propyl butanoate","21.94_ethyl pentanoate","22.16_3-methylbutanoic acid","22.23_Styrene","22.24_butyl propanoate","22.52_pentyl acetate","22.66_3-isothiocyanatoprop-1-ene","22.77_heptanal","22.88_(3S)-3,7-dimethylocta-1,6-diene","22.91_methyl hexanoate","23.42_3-(methyldisulfanyl)prop-1-ene","23.65_propyl 2-methylbutanoate","23.66_pentanoic acid","23.84_S-methyl 3-methylbutanethioate","24.11_3-methylsulfanylpropanal","24.35_methyl 2-methylpentanoate","24.45_(6E)-2,6-dimethylocta-2,6-diene","24.51_decane","24.61_2,2,4,6,6-pentamethylheptane","24.69_4-methyl-1-propan-2-ylbicyclo[3.1.0]hex-2-ene","24.76_6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane","24.76_7-methyl-3-methylideneocta-1,6-diene","24.84_6-methylheptan-2-one","25.44_butyl butanoate","25.53_ethyl hexanoate","25.70_2-methyl-5-propan-2-ylcyclohexa-1,3-diene","25.79_octan-3-one","25.85_(methyltrisulfanyl)methane","25.95_4-methylpentanoic acid","26.00_6-methylhept-5-en-2-one","26.14_benzaldehyde","26.45_Octanal","26.49_methyl heptanoate","26.56_(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene","26.69_1-methyl-4-propan-2-ylbenzene","26.93_hexanoic acid","27.02_butyl 2-methylbutanoate","27.12_1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane","27.16_1-methoxy-4-methylbenzene","27.16_butyl 3-methylbutanoate","27.19_2-methyl-4,5-dihydro-1,3-oxazole","27.48_1-methyl-4-propan-2-ylcyclohexa-1,4-diene","27.93_undecane","28.11_2,2,6-trimethylcyclohexan-1-one","28.46_methyl cyclohexanecarboxylate","28.55_Phenol","28.71_thiolan-2-one","28.81_propyl hexanoate","28.90_ethyl heptanoate","29.14_2-phenylacetaldehyde","29.22_3-(4-methylpent-3-enyl)furan","29.72_3,7-dimethylocta-1,6-dien-3-ol","29.81_methyl octanoate","29.89_nonanal*","29.90_1-phenylethanone","30.08_Heptanoic acid","30.22_pentyl 2-methylbutanoate","30.39_pentyl 3-methylbutanoate","30.61_2-methylpropyl hexanoate","30.62_2-methoxyphenol","30.76_ethyl cyclohexanecarboxylate","31.14_dodecane*","31.35_4-methylphenol","31.39_cyclohexa-1,4-diene","31.90_hexyl butanoate","31.91_butyl hexanoate","32.03_ethyl octanoate","32.04_cyclohexanecarboxylic acid","32.13_1-phenylpropan-2-one","32.66_6-methyloxan-2-one","32.67_1,3,4-oxadiazole","32.72_4-methyl-1-propan-2-ylcyclohex-3-en-1-ol","32.81_1-Methyl-4-isopropyl-cyclohexyl 2-hydroperfluorobutanoate","32.84_methyl 2-phenylacetate","32.98_octanoic acid","33.05_Decanal","33.34_2-(4-methylcyclohex-3-en-1-yl)propan-2-ol","33.73_methyl 2-hydroxybenzoate","33.87_propyl cyclohexanecarboxylate","33.91_1,3-ditert-butylbenzene","34.19_4-ethylphenol","34.80_hexyl pentanoate","34.93_undecan-4-one","35.41_2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one","35.47_3-propan-2-ylbenzaldehyde","35.76_methyl 3-phenylpropanoate","35.98_1-methoxy-4-[(E)-prop-1-enyl]benzene","36.51_2,3,5-trimethyl-4-methylidenecyclopent-2-en-1-one","36.51_4-ethenyl-4-methyl-1-propan-2-yl-3-prop-1-en-2-ylcyclohexene","36.83_(1R,5S,6R,7S,10R)-4,10-dimethyl-7-propan-2-yltricyclo[4.4.0.01,5]dec-3-ene","36.93_tetradecane","37.30_2,4-Decadienal","39.01_1H-indole","40.94_1-methyl-4-(6-methylhept-5-en-2-yl)benzene","7.10_ethanol*","7.70_propanal","7.86_propan-2-one","7.97_methylsulfanylmethane","8.07_propan-2-ol","8.25_carbon disulfide","8.40_methyl acetate","8.46_acetonitrile","9.55_2-methylpropanal"
"152A",20250624,NA,NA,NA,6137600,1640640,NA,NA,NA,13320192,NA,28650496,3820800,NA,NA,NA,52244480,7112960,23239680,2316288,NA,18184192,NA,NA,NA,NA,10375168,NA,NA,NA,NA,15291392,NA,20501504,NA,NA,9372672,5499136,914176,3673856,NA,1841088,NA,NA,8061440,NA,NA,7732736,6057984,NA,318848,1633792,NA,35225600,5149184,1534912,25842688,NA,19110912,36896768,NA,2844928,NA,4573184,NA,162349056,NA,NA,981632,NA,2363904,38617088,NA,NA,NA,NA,36122624,48230400,NA,NA,NA,3250176,NA,3938560,NA,NA,151027712,NA,7342080,NA,NA,8047104,NA,NA,33061888,NA,3581440,644800,1681536,4673536,3799296,NA,NA,17305600,22258688,NA,NA,1358495744,9113600,NA,NA,NA,NA,NA,NA,7365376,793280,NA,NA,23621632,NA,NA,677312,92090368,NA,18712576,1532160,2004288,1360832,15944704,NA,NA,NA,NA,NA,8670208,1404239872,396345344,NA,NA,NA,NA,2752512,NA,NA,NA,NA,NA,1842496,742208,561216,2084928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1064064,NA,1614848,NA,909312000,629696,13362176,NA,23085056,NA,NA,1013824,NA,NA,7904256
"156A",8008704,NA,NA,NA,29896704,NA,NA,NA,NA,30223360,NA,10446848,NA,1266496,NA,NA,18732032,40148992,19741696,5939968,NA,3959552,NA,NA,2613760,5528064,11027456,5736960,8056576,NA,2086272,NA,NA,69672960,NA,NA,5296896,1841664,NA,8472576,7859200,NA,NA,NA,NA,NA,NA,6860800,12087296,2799872,NA,NA,NA,6668032,5051392,2658304,10693632,NA,1217856,1617536,NA,1416640,NA,NA,NA,695205888,NA,NA,NA,NA,2410240,11516928,NA,NA,2631680,NA,32089088,10341376,NA,NA,NA,2275840,4747776,NA,NA,NA,234487808,NA,2780928,NA,NA,NA,NA,NA,10895360,2298112,2735104,1257088,NA,3822080,NA,NA,NA,10145792,5303296,1779072,NA,14185472,7397888,NA,NA,NA,NA,NA,NA,3308032,NA,NA,NA,19813376,1939008,NA,NA,22482944,NA,4857600,NA,1292992,NA,NA,NA,NA,NA,NA,NA,879232,54525952,NA,NA,NA,NA,NA,637056,NA,NA,NA,NA,NA,NA,NA,NA,276656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99840000,NA,49704960,NA,4196352,NA,2964736,NA,5927168,NA,2864640
"160A",63213568,9128960,NA,NA,NA,NA,NA,NA,NA,7331584,NA,163446784,NA,NA,NA,NA,82501632,NA,38109184,932864,NA,33636352,NA,NA,NA,2169856,3482880,NA,NA,NA,NA,23476224,NA,14011392,455152,1122048,15136768,NA,NA,NA,NA,1053568,NA,NA,15738880,NA,NA,4888576,17029120,NA,NA,1813312,NA,20369408,NA,NA,82440192,NA,6025216,10271744,NA,3424512,NA,3408128,NA,103559168,NA,NA,NA,NA,NA,362184704,NA,NA,NA,NA,119042048,34742272,NA,NA,NA,3689216,5530624,NA,NA,NA,170819584,NA,10834944,NA,NA,15218688,12251136,NA,154386432,NA,NA,NA,NA,75620352,NA,NA,NA,31698944,27667456,8690688,NA,262045696,90279936,NA,NA,NA,3565312,NA,NA,119373824,5337088,NA,NA,NA,NA,NA,NA,97599488,NA,NA,NA,5100544,1155008,4562944,NA,NA,NA,NA,NA,18748416,2218524672,1101135872,NA,NA,NA,NA,2177792,1030912,NA,NA,NA,NA,NA,506800,685376,NA,NA,1538496,2638336,NA,403760,NA,NA,NA,NA,NA,2934528,432144,2261248,NA,178651136,NA,8860672,NA,165183488,2368000,NA,2588160,NA,NA,12972032
"166A",8665088,NA,NA,NA,5929984,NA,NA,NA,476784,16831488,NA,16706560,NA,NA,NA,NA,19166208,25673728,13980672,2395392,NA,17447936,NA,1092160,NA,NA,34877440,NA,NA,NA,NA,94183424,NA,30339072,NA,4424448,3420672,NA,NA,2970368,1263488,NA,NA,NA,2679296,NA,NA,9129984,45473792,898496,NA,1093824,NA,12200960,1121792,NA,125460480,NA,4580864,NA,NA,4079616,NA,1966656,NA,438321152,NA,NA,1267904,NA,NA,33632256,NA,NA,NA,NA,181370880,33029120,NA,NA,NA,3560960,NA,3746048,NA,NA,NA,11102208,2790912,NA,NA,20875264,7738880,NA,12584960,5239808,NA,3561216,3354112,3253248,NA,100761600,NA,17313792,10693632,4525312,1756608,76685312,6033920,636026880,NA,NA,NA,NA,NA,4393728,1428288,NA,NA,6100480,NA,NA,NA,44363776,NA,863168,NA,4502528,958400,88137728,NA,NA,NA,NA,NA,29139968,1484455936,NA,2286592,1922176,NA,NA,1546176,2635264,NA,NA,NA,NA,5151488,NA,NA,NA,NA,1458560,NA,NA,NA,NA,NA,NA,NA,NA,769856,NA,2899200,NA,316653568,477872,12767232,739136,19883008,245088,NA,810368,NA,NA,3187200
"3B",106414080,NA,NA,NA,67149824,NA,NA,NA,1063616,6884608,33640448,NA,NA,3542784,NA,NA,16066560,89669632,38465536,4964096,NA,12232704,9434112,NA,18253824,NA,NA,32459776,26510336,NA,NA,3681536,NA,217088000,NA,4996608,10221568,NA,NA,3511040,94908416,NA,NA,53239808,5572096,NA,30668800,8472576,89255936,8980480,NA,NA,NA,7713024,4196096,NA,176455680,5750528,1277696,2667264,NA,4590592,NA,NA,NA,1187643392,NA,1689088,1519936,NA,NA,1301120,NA,NA,214695936,23653376,336920576,NA,71565312,7746560,NA,3441408,NA,NA,NA,NA,675086336,NA,3482368,NA,NA,7703040,NA,5580800,14210048,NA,1875584,170393600,NA,3463424,NA,2342656,NA,34373632,4852224,3794432,NA,7076864,2032896,5836032,2228736,2149120,NA,1209216,NA,NA,NA,NA,NA,43073536,NA,NA,NA,41717760,NA,942400,NA,3439616,NA,NA,NA,NA,NA,NA,1529856,4688896,114245632,NA,NA,NA,NA,11744256,NA,NA,NA,NA,NA,NA,1789184,NA,NA,1964864,1521472,NA,2492672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198393856,NA,52740096,1766848,24856576,2144256,NA,9829376,4676608,NA,2404352
"11B",NA,NA,NA,NA,NA,NA,NA,NA,NA,14706688,NA,24522752,NA,NA,NA,NA,138002432,NA,74706944,2061888,NA,2161408,NA,NA,NA,NA,12773376,NA,NA,NA,NA,3337984,NA,12914688,NA,NA,1564096,NA,NA,NA,NA,2126592,NA,NA,NA,NA,NA,4512512,NA,NA,NA,NA,457408,5021440,NA,NA,3237376,NA,NA,NA,NA,NA,NA,NA,NA,7895040,4064768,NA,NA,NA,NA,574029824,NA,NA,NA,NA,NA,38133760,NA,NA,NA,1759552,608064,NA,NA,NA,3444736,1125888,9254912,NA,NA,1131648,NA,NA,2855168,3082752,NA,NA,NA,6820096,NA,NA,NA,25961472,23362560,1446848,NA,39411712,2164736,NA,NA,1409088,NA,NA,NA,1644288,NA,NA,NA,36003840,NA,NA,NA,85458944,NA,NA,NA,634752,NA,NA,NA,NA,NA,NA,NA,NA,822214656,NA,NA,NA,NA,NA,642816,NA,NA,NA,NA,NA,NA,314096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,469368832,NA,10004480,574656,28120064,1215616,NA,NA,NA,NA,18955264
"19B",13005824,1459008,NA,NA,5544960,NA,NA,NA,NA,5203456,NA,12804096,NA,NA,NA,NA,35102720,NA,13734912,3978240,NA,1905152,NA,NA,NA,NA,7575552,NA,NA,NA,NA,110956544,NA,15572992,NA,3528448,4975104,NA,NA,3050496,1115200,1551360,NA,NA,1448832,NA,NA,7616256,9468928,NA,429312,NA,NA,2752256,NA,NA,40071168,NA,783552,659840,NA,6094592,NA,NA,NA,87629824,NA,NA,NA,NA,NA,NA,NA,NA,667456,327680,45895680,60399616,NA,NA,NA,4169984,NA,NA,NA,NA,46854144,45678592,6054656,NA,NA,11415552,NA,NA,17211392,4514048,NA,3318528,NA,NA,NA,33918976,NA,7318784,6762496,12038144,NA,566165504,19137536,NA,NA,NA,1864512,NA,NA,27815936,NA,NA,NA,5461504,NA,NA,NA,49602560,NA,819968,NA,4751360,389904,NA,NA,NA,NA,NA,NA,11268096,1471414272,523829248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255584,NA,193136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1260480,NA,439336960,NA,9628672,NA,18547712,NA,2951680,NA,NA,NA,4721920
"22B",9290752,958976,NA,NA,10958848,NA,NA,NA,870784,10164224,NA,29155328,NA,NA,NA,NA,19149824,5585920,14668800,4482304,NA,8198656,NA,NA,NA,11628544,9901056,3703040,1566464,NA,NA,104628224,NA,25995264,NA,4816128,4633344,NA,776640,7813888,1453568,NA,NA,NA,5070336,NA,5274368,9858048,24118272,664576,NA,1013312,NA,7330816,1939584,NA,72024064,NA,3233536,NA,717952,2969856,NA,1210304,NA,302743552,NA,NA,740480,1276096,NA,37732352,NA,NA,1409344,NA,101728256,52707328,NA,NA,NA,4346368,NA,NA,NA,NA,161792000,7687168,NA,NA,NA,3686144,NA,NA,63262720,8848384,2004928,2806784,NA,6124288,NA,57233408,NA,26937344,23732224,2136064,NA,69578752,74215424,NA,NA,NA,1428096,NA,NA,113741824,NA,NA,NA,80969728,671680,NA,NA,25320448,NA,1531520,NA,1607424,755264,NA,NA,NA,NA,NA,NA,2603264,1459683328,515473408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173488,NA,485072,NA,NA,NA,NA,NA,NA,2461696,NA,NA,NA,1136064,NA,549191680,NA,9325568,2368512,40763392,567296,2372608,1223552,NA,NA,3508736
"23B",231784448,NA,NA,NA,NA,NA,NA,NA,NA,4951552,NA,14866432,NA,NA,NA,NA,79114240,NA,42459136,1444992,NA,8300288,NA,NA,NA,2817280,10160128,NA,NA,NA,NA,4516352,NA,NA,NA,NA,71704576,4755200,NA,3717120,NA,2208512,858560,NA,3979008,NA,NA,2302464,NA,NA,NA,NA,NA,3057664,1265472,1034816,NA,NA,1119872,NA,NA,1986944,NA,NA,NA,10146816,1861248,NA,1000128,NA,NA,NA,NA,NA,NA,NA,2237440,63057920,NA,NA,NA,1827328,1162496,NA,NA,NA,2648832,NA,6042112,NA,NA,2852608,NA,NA,40939520,NA,NA,NA,NA,29637632,NA,NA,NA,14669824,24174592,2786560,NA,120475648,44871680,NA,NA,9584640,NA,NA,NA,11777024,NA,NA,NA,20815872,NA,NA,NA,53239808,NA,990080,NA,786688,551872,NA,NA,NA,NA,NA,NA,674944,1017446400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,536000,NA,NA,NA,295911424,NA,NA,NA,24033280,NA,2336512,NA,NA,NA,11029504
"27B",30332928,750272,NA,NA,5692416,NA,NA,NA,NA,21052416,NA,16486400,3409408,NA,NA,NA,139264000,NA,77697024,1042048,NA,6474240,NA,NA,NA,NA,82653184,NA,NA,NA,NA,26406912,NA,13888512,NA,NA,111857664,NA,NA,4360448,NA,NA,763520,NA,1688320,NA,NA,7125760,3770368,NA,NA,NA,NA,7271424,877504,NA,9932800,NA,1295552,NA,NA,2199040,NA,532352,NA,59293696,NA,NA,NA,2499840,1126208,34283520,NA,NA,NA,NA,10476544,70189056,NA,NA,NA,2550016,2059584,NA,NA,NA,14026752,4559616,5599232,NA,NA,5090816,5821952,NA,20716544,NA,NA,NA,NA,3817984,NA,NA,NA,5535744,15394816,1924416,NA,29680640,8201216,NA,NA,1103488,NA,NA,NA,4822784,NA,NA,NA,6355200,NA,NA,NA,67395584,NA,NA,NA,1611200,1071616,NA,NA,NA,NA,NA,NA,2025344,466780160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179781632,NA,14911488,840256,10949632,3671552,NA,NA,NA,NA,23022592
"29B",NA,508592,NA,NA,NA,NA,NA,NA,NA,10725376,NA,18037760,NA,NA,NA,NA,93224960,NA,45494272,2733568,NA,2979584,NA,NA,NA,NA,26622976,NA,NA,NA,NA,95809536,NA,13768704,NA,NA,5223424,NA,NA,2992640,NA,3607296,NA,NA,1727104,NA,NA,8882176,5974784,NA,823424,NA,196592,4466944,NA,NA,19040256,NA,633024,NA,NA,NA,NA,NA,NA,46948352,7615744,NA,830592,NA,NA,5268992,NA,NA,NA,NA,22599680,50491392,NA,NA,NA,1661952,NA,NA,NA,NA,16054272,1294208,5506304,NA,NA,2901760,NA,NA,2599424,2726912,NA,NA,NA,2116864,NA,12816384,NA,9671680,26030080,952000,NA,5435392,1609920,NA,NA,NA,898432,NA,NA,NA,NA,NA,NA,5721600,NA,NA,NA,70283264,NA,NA,NA,816448,966016,NA,NA,NA,NA,NA,NA,2365696,1403715584,NA,NA,NA,NA,NA,1507968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589248,NA,203997184,NA,9072640,NA,17584128,5111040,NA,NA,NA,NA,12728320
"31B",NA,NA,13071360,NA,24790016,NA,NA,NA,NA,28611584,10572800,NA,1312064,NA,NA,NA,60911616,7352320,26758144,3117056,NA,5740800,NA,NA,4904960,NA,15251456,NA,2514432,NA,NA,NA,NA,22547456,NA,NA,3859712,NA,NA,3132672,NA,85139456,NA,NA,NA,2534912,4260608,3550464,6061568,NA,935744,NA,NA,5209088,2110208,NA,19145728,NA,2163968,NA,NA,NA,NA,1295552,NA,482852864,NA,NA,NA,NA,1934912,175210496,NA,NA,1611264,NA,29342720,42766336,NA,NA,NA,1585280,NA,NA,NA,NA,95830016,20198400,7110912,NA,NA,926848,NA,NA,NA,NA,2187520,2768896,NA,NA,NA,NA,7478784,6193152,20785152,2507520,NA,2823168,606400,NA,NA,NA,NA,NA,NA,591680,NA,NA,NA,18971648,1286784,NA,NA,64585728,NA,353072,NA,711872,432336,NA,NA,NA,NA,NA,855360,NA,222461952,NA,NA,NA,NA,3206144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105365504,NA,50536448,NA,7682048,242528,2471168,NA,1050880,NA,7940096
"33B",2754560,NA,NA,NA,10555392,NA,NA,NA,NA,6212864,NA,11739136,NA,679360,NA,NA,36737024,23219200,16782336,4889600,NA,36483072,NA,NA,NA,2957056,NA,NA,5333504,NA,NA,1567424,NA,37568512,NA,1530304,6714368,NA,NA,4692992,NA,5725952,NA,NA,9808896,NA,3404288,5883392,18994176,3788800,NA,NA,NA,55783424,4161792,NA,55963648,NA,4333568,14416896,NA,1014592,NA,1041792,NA,436895744,NA,NA,721280,NA,2263552,40132608,NA,NA,2416896,NA,77012992,45600768,NA,NA,NA,3181056,NA,11634688,NA,NA,NA,8591360,5684992,NA,NA,2851584,NA,715136,NA,NA,2577152,2358528,NA,NA,1226432,NA,NA,28297216,12219392,3617792,3010048,2234112,NA,408715264,NA,NA,NA,NA,NA,NA,NA,NA,NA,22045696,NA,NA,NA,89485312,NA,889280,NA,2251776,NA,29130752,NA,NA,NA,NA,NA,1433664,1264975872,NA,NA,773952,NA,NA,1368896,NA,NA,NA,NA,NA,NA,NA,NA,4000256,NA,NA,NA,NA,NA,738816,NA,NA,NA,NA,NA,NA,NA,NA,265371648,NA,8650752,NA,12368896,919232,2326272,NA,3504640,NA,5445888
"35B",NA,718080,NA,NA,5960448,1135744,NA,NA,NA,10456064,NA,41213952,1405824,NA,NA,NA,71315456,4383488,34209792,2685952,NA,12535808,NA,NA,NA,9213952,18722816,NA,NA,NA,NA,70578176,NA,15977472,NA,NA,2267136,NA,NA,5851136,NA,2747392,NA,NA,6863104,NA,NA,11709440,6340352,NA,NA,NA,NA,11695104,NA,1088448,21325824,NA,5258752,NA,NA,1102720,NA,2595072,NA,85905408,NA,NA,1018944,NA,NA,15182848,NA,NA,NA,NA,28318720,56295424,NA,NA,NA,2531072,1578112,NA,1681856,NA,44474368,3633920,6993408,NA,NA,1243328,NA,1723456,1802304,NA,1555200,NA,NA,NA,1060736,27284480,NA,60903424,26518528,1468032,NA,323321856,2016576,NA,NA,NA,NA,NA,NA,1285824,NA,NA,NA,53813248,635200,NA,NA,69722112,NA,784064,NA,1154112,743424,NA,NA,NA,NA,603648,NA,564992,879296512,232718336,NA,NA,NA,NA,763264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18159616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611713024,NA,10117120,NA,71766016,2805504,NA,NA,NA,NA,9432064
"39B",24815616,2324992,NA,NA,NA,NA,NA,NA,NA,11636736,NA,36409344,NA,NA,NA,NA,112226304,NA,54206464,1995648,NA,22561792,NA,229536,NA,NA,42549248,NA,1134144,NA,NA,25016320,NA,20684800,NA,NA,2414336,NA,620288,2637312,NA,NA,624896,NA,8906752,NA,NA,12456960,8636416,673280,NA,NA,NA,28454912,NA,1582720,25972736,NA,2370048,9242624,NA,1381760,NA,938560,NA,159678464,NA,NA,NA,NA,2320640,11932672,NA,NA,314288,NA,39477248,80248832,NA,NA,NA,2947072,2709760,1686400,NA,NA,103563264,NA,8110848,NA,NA,2395136,NA,NA,32106496,NA,NA,NA,NA,30816256,NA,NA,NA,15412224,20762624,1985984,NA,92000256,20514816,NA,NA,NA,NA,NA,NA,2859264,NA,NA,NA,15929344,NA,NA,NA,105906176,NA,4842496,NA,1870656,1407296,NA,NA,NA,NA,NA,NA,1800128,620691456,NA,NA,NA,NA,NA,835968,NA,NA,NA,NA,NA,NA,NA,493824,NA,NA,NA,3937280,NA,NA,NA,NA,NA,NA,NA,1419712,NA,NA,NA,734920704,NA,22192128,1144384,44134400,2194176,2471680,1932160,3008768,NA,14879744
"41B",NA,NA,NA,NA,23245824,647360,NA,NA,430576,4651264,NA,14998528,2775552,NA,NA,NA,12956672,43728896,20248576,3414016,NA,13943808,NA,NA,3151360,4532224,NA,5887232,17036288,NA,NA,3009792,NA,52760576,NA,NA,1541696,NA,NA,3631616,48103424,NA,NA,5558272,5842432,NA,10830848,5351168,39206912,6094592,NA,NA,NA,10789888,1571776,NA,98729984,3145216,3109376,NA,NA,NA,NA,1837120,NA,872611840,NA,NA,1300480,NA,NA,20227072,NA,NA,80494592,12674048,152797184,98217984,NA,5902592,NA,2625280,NA,3924992,NA,NA,607584256,5387776,1886720,NA,NA,2569472,NA,NA,NA,504224,2465280,104341504,NA,1067648,6043136,2749952,NA,18587648,10529792,2214400,NA,16537600,969536,NA,NA,NA,NA,1246784,NA,NA,NA,538112,3437824,10622976,NA,3856128,NA,31698944,NA,1278912,NA,2749184,1172864,NA,NA,NA,NA,NA,2204672,980416,2424307712,598933504,NA,1563840,NA,23176192,NA,NA,NA,NA,NA,NA,NA,617024,1076288,5609216,1277952,572736,6497024,NA,NA,602752,NA,NA,NA,NA,NA,NA,NA,NA,918028288,NA,24317952,NA,21156864,2177024,NA,NA,2252032,NA,1771712
"49B",NA,NA,NA,NA,NA,NA,NA,NA,NA,5620224,NA,119160832,NA,NA,NA,NA,61259776,10220544,31092736,5536256,NA,55558144,NA,NA,NA,NA,NA,NA,NA,NA,NA,44630016,NA,16985088,NA,NA,142868480,NA,NA,7135488,NA,NA,NA,NA,47644672,NA,NA,10256384,37949440,NA,NA,NA,NA,52690944,1775552,2075904,113500160,NA,4463616,33090560,2048896,1958784,NA,1296896,NA,175390720,NA,NA,659648,NA,NA,15260672,NA,NA,NA,538752,176029696,5490944,NA,NA,NA,2902272,6892544,NA,NA,NA,241238016,NA,NA,NA,4508416,2416896,3634176,NA,47509504,37457920,4359168,NA,NA,85958656,NA,13573120,NA,46698496,33894400,3554048,NA,341508096,45228032,NA,NA,NA,2201344,NA,NA,18122752,NA,NA,NA,3051520,NA,NA,NA,67510272,NA,1198336,NA,3879168,NA,4555520,NA,NA,NA,NA,NA,5053696,569901056,1376518144,NA,NA,NA,NA,4986880,NA,NA,339520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4987392,975360,1849664,NA,158515200,NA,8679424,NA,203718656,1630976,NA,NA,NA,NA,11126784
"55B",37056512,826432,NA,NA,NA,NA,NA,NA,NA,7010304,NA,29245440,NA,NA,NA,NA,157089792,NA,67825664,4216064,NA,1822784,NA,NA,NA,NA,8697856,NA,NA,NA,NA,3264256,NA,13623296,NA,4527360,NA,NA,NA,10110976,NA,NA,NA,NA,1268224,NA,NA,6027520,NA,NA,222768,NA,NA,3778048,NA,NA,2743552,NA,NA,1571264,NA,1337152,NA,NA,NA,5661952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5782272,8018944,NA,NA,NA,1840320,NA,NA,NA,NA,NA,NA,9714688,NA,1184448,NA,NA,NA,23830528,NA,1905408,NA,NA,2852864,NA,NA,NA,26326016,23341056,1607744,NA,65265664,5688064,NA,NA,NA,380576,NA,NA,2816768,NA,NA,NA,NA,NA,NA,NA,83632128,NA,NA,NA,1212736,723712,NA,NA,NA,NA,NA,NA,NA,1009451008,92078080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009536,NA,NA,NA,61018112,NA,8502272,NA,34222080,2122496,NA,1524224,NA,NA,23273472
