"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","RDataPath","PreparerClass","Tags"
"HuMMANet Study Bundle: SatoY_2021","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study SatoY_2021 .","3.24",,"RDS","https://zenodo.org/records/22053943/files/satoy_2021.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","satoy_2021.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,SatoY_2021"
"HuMMANet Study Bundle: SchirmerM_2024_Fecal","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study SchirmerM_2024_Fecal .","3.24",,"RDS","https://zenodo.org/records/22053943/files/schirmerm_2024_fecal.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","schirmerm_2024_fecal.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,SchirmerM_2024_Fecal"
"HuMMANet Study Bundle: SchirmerM_2024_Serum","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study SchirmerM_2024_Serum .","3.24",,"RDS","https://zenodo.org/records/22053943/files/schirmerm_2024_serum.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","schirmerm_2024_serum.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,SchirmerM_2024_Serum"
"HuMMANet Study Bundle: ShalonD_2023","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study ShalonD_2023 .","3.24",,"RDS","https://zenodo.org/records/22053943/files/shalond_2023.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","shalond_2023.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,ShalonD_2023"
"HuMMANet Study Bundle: ShalonD_2023_UT","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study ShalonD_2023_UT .","3.24",,"RDS","https://zenodo.org/records/22053943/files/shalond_2023_ut.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","shalond_2023_ut.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,ShalonD_2023_UT"
"HuMMANet Study Bundle: ShoerS_2023","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study ShoerS_2023 .","3.24",,"RDS","https://zenodo.org/records/22053943/files/shoers_2023.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","shoers_2023.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,ShoerS_2023"
"HuMMANet Study Bundle: TanesC_2021_Fecal","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study TanesC_2021_Fecal .","3.24",,"RDS","https://zenodo.org/records/22053943/files/tanesc_2021_fecal.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","tanesc_2021_fecal.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,TanesC_2021_Fecal"
"HuMMANet Study Bundle: TanesC_2021_Serum","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study TanesC_2021_Serum .","3.24",,"RDS","https://zenodo.org/records/22053943/files/tanesc_2021_serum.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","tanesc_2021_serum.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,TanesC_2021_Serum"
"HuMMANet Study Bundle: TherdtathaM_2025","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study TherdtathaM_2025 .","3.24",,"RDS","https://zenodo.org/records/22053943/files/therdtatham_2025.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","therdtatham_2025.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,TherdtathaM_2025"
"HuMMANet Study Bundle: WANDRO_PRETERMS_2018","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study WANDRO_PRETERMS_2018 .","3.24",,"RDS","https://zenodo.org/records/22053943/files/wandro_preterms_2018.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","wandro_preterms_2018.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,WANDRO_PRETERMS_2018"
"HuMMANet Study Bundle: WANG_ESRD_2020_Fecal","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study WANG_ESRD_2020_Fecal .","3.24",,"RDS","https://zenodo.org/records/22053943/files/wang_esrd_2020_fecal.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","wang_esrd_2020_fecal.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,WANG_ESRD_2020_Fecal"
"HuMMANet Study Bundle: WANG_ESRD_2020_Serum","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study WANG_ESRD_2020_Serum .","3.24",,"RDS","https://zenodo.org/records/22053943/files/wang_esrd_2020_serum.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","wang_esrd_2020_serum.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,WANG_ESRD_2020_Serum"
"HuMMANet Study Bundle: WangC_2023","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study WangC_2023 .","3.24",,"RDS","https://zenodo.org/records/22053943/files/wangc_2023.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","wangc_2023.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,WangC_2023"
"HuMMANet Study Bundle: WuL_2025","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study WuL_2025 .","3.24",,"RDS","https://zenodo.org/records/22053943/files/wul_2025.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","wul_2025.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,WuL_2025"
"HuMMANet Study Bundle: WuY_2025","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study WuY_2025 .","3.24",,"RDS","https://zenodo.org/records/22053943/files/wuy_2025.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","wuy_2025.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,WuY_2025"
"HuMMANet Study Bundle: XiongR_2023","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study XiongR_2023 .","3.24",,"RDS","https://zenodo.org/records/22053943/files/xiongr_2023.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","xiongr_2023.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,XiongR_2023"
"HuMMANet Study Bundle: XuQ_Fecal_2022","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study XuQ_Fecal_2022 .","3.24",,"RDS","https://zenodo.org/records/22053943/files/xuq_fecal_2022.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","xuq_fecal_2022.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,XuQ_Fecal_2022"
"HuMMANet Study Bundle: XuQ_Serum_2022","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study XuQ_Serum_2022 .","3.24",,"RDS","https://zenodo.org/records/22053943/files/xuq_serum_2022.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","xuq_serum_2022.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,XuQ_Serum_2022"
"HuMMANet Study Bundle: XueH_2024","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study XueH_2024 .","3.24",,"RDS","https://zenodo.org/records/22053943/files/xueh_2024.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","xueh_2024.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,XueH_2024"
"HuMMANet Study Bundle: YACHIDA_CRC_2019","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study YACHIDA_CRC_2019 .","3.24",,"RDS","https://zenodo.org/records/22053943/files/yachida_crc_2019.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","yachida_crc_2019.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,YACHIDA_CRC_2019"
