"","Acidaminococcus_fermentans","Acidaminococcus_intestini","Actinomyces_odontolyticus","Adlercreutzia_equolifaciens","Alistipes_finegoldii","Alistipes_indistinctus","Alistipes_massiliensis","Alistipes_onderdonkii","Alistipes_putredinis","Alistipes_senegalensis","Alistipes_shahii","Allisonella_histaminiformans","Alloprevotella_rava","Anaerostipes_butyraticus","Anaerostipes_caccae","Anaerostipes_hadrus","Anaerotruncus_colihominis","Anaerovorax_odorimutans","Bacteroides_barnesiae","Bacteroides_caccae","Bacteroides_cellulosilyticus","Bacteroides_clarus","Bacteroides_coagulans","Bacteroides_coprocola","Bacteroides_dorei","Bacteroides_eggerthii","Bacteroides_faecichinchillae","Bacteroides_faecis","Bacteroides_finegoldii","Bacteroides_fragilis","Bacteroides_intestinalis","Bacteroides_massiliensis","Bacteroides_nordii","Bacteroides_ovatus","Bacteroides_pectinophilus","Bacteroides_plebeius","Bacteroides_salanitronis","Bacteroides_stercoris","Bacteroides_thetaiotaomicron","Bacteroides_uniformis","Bacteroides_vulgatus","Bacteroides_xylanisolvens","Bifidobacterium_adolescentis","Bifidobacterium_bifidum","Bifidobacterium_breve","Bifidobacterium_dentium","Bifidobacterium_longum","Bifidobacterium_pseudocatenulatum","Bifidobacterium_stercoris","Bilophila_wadsworthia","Blautia_coccoides","Blautia_glucerasea","Blautia_hansenii","Blautia_luti","Blautia_producta","Blautia_stercoris","Brachyspira_aalborgi","Butyricicoccus_pullicaecorum","Butyricimonas_virosa","Butyrivibrio_crossotus","Carnobacterium_divergens","Carnobacterium_maltaromaticum","Catabacter_hongkongensis","Catenibacterium_mitsuokai","Christensenella_minuta","Cloacibacillus_evryensis","Cloacibacillus_porcorum","Clostridium_algidixylanolyticum","Clostridium_aminophilum","Clostridium_bartlettii","Clostridium_bolteae","Clostridium_cellulosi","Clostridium_chauvoei","Clostridium_citroniae","Clostridium_clostridioforme","Clostridium_disporicum","Clostridium_fusiformis","Clostridium_glycyrrhizinilyticum","Clostridium_hathewayi","Clostridium_innocuum","Clostridium_lactatifermentans","Clostridium_lavalense","Clostridium_leptum","Clostridium_methylpentosum","Clostridium_neonatale","Clostridium_nexile","Clostridium_paraputrificum","Clostridium_propionicum","Clostridium_ramosum","Clostridium_scindens","Clostridium_spiroforme","Clostridium_stercorarium","Clostridium_symbiosum","Clostridium_xylanolyticum","Clostridium_xylanovorans","Collinsella_aerofaciens","Collinsella_tanakaei","Coprobacillus_cateniformis","Coprobacter_fastidiosus","Coprococcus_catus","Coprococcus_comes","Coprococcus_eutactus","Coriobacterium_glomerans","Dialister_invisus","Dialister_propionicifaciens","Dialister_succinatiphilus","Dorea_formicigenerans","Dorea_longicatena","Eggerthella_lenta","Eggerthella_sinensis","Enterococcus_avium","Enterococcus_faecium","Enterorhabdus_caecimuris","Escherichia/Shigella_coli","Eubacterium_biforme","Eubacterium_coprostanoligenes","Eubacterium_cylindroides","Eubacterium_desmolans","Eubacterium_eligens","Eubacterium_hallii","Eubacterium_limosum","Eubacterium_oxidoreducens","Eubacterium_ramulus","Eubacterium_rectale","Eubacterium_siraeum","Eubacterium_tenue","Eubacterium_ventriosum","Eubacterium_xylanophilum","Faecalibacterium_prausnitzii","Flavonifractor_plautii","Fusicatenibacter_saccharivorans","Fusobacterium_mortiferum","Fusobacterium_varium","Gordonibacter_pamelaeae","Haemophilus_parainfluenzae","Holdemania_filiformis","Hydrogenoanaerobacterium_saccharovorans","Intestinimonas_butyriciproducens","Lachnospira_pectinoschiza","Lactobacillus_delbrueckii","Lactobacillus_gasseri","Lactobacillus_mucosae","Lactobacillus_reuteri","Lactobacillus_rogosae","Lactobacillus_sakei","Lactobacillus_salivarius","Lactococcus_lactis","Lactonifactor_longoviformis","Megamonas_hypermegale","Megasphaera_elsdenii","Megasphaera_micronuciformis","Mitsuokella_jalaludinii","Odoribacter_laneus","Odoribacter_splanchnicus","Olsenella_uli","Olsenella_umbonata","Oscillibacter_valericigenes","Oxalobacter_formigenes","Parabacteroides_distasonis","Parabacteroides_goldsteinii","Parabacteroides_merdae","Paraprevotella_clara","Paraprevotella_xylaniphila","Parasutterella_excrementihominis","Parvimonas_micra","Pediococcus_acidilactici","Phascolarctobacterium_faecium","Phascolarctobacterium_succinatutens","Prevotella_copri","Prevotella_stercorea","Pseudobutyrivibrio_ruminis","Pseudoflavonifractor_capillosus","Rikenella_microfusus","Roseburia_faecis","Roseburia_hominis","Roseburia_intestinalis","Roseburia_inulinivorans","Rothia_mucilaginosa","Ruminococcus_albus","Ruminococcus_bromii","Ruminococcus_callidus","Ruminococcus_champanellensis","Ruminococcus_flavefaciens","Ruminococcus_gnavus","Ruminococcus_lactaris","Ruminococcus_obeum","Ruminococcus_torques","Selenomonas_bovis","Slackia_isoflavoniconvertens","Sneathia_sanguinegens","Solobacterium_moorei","Streptococcus_anginosus","Streptococcus_australis","Streptococcus_gordonii","Streptococcus_mitis","Streptococcus_mutans","Streptococcus_oralis","Streptococcus_parasanguinis","Streptococcus_pasteurianus","Streptococcus_pleomorphus","Streptococcus_salivarius","Streptococcus_thermophilus","Subdoligranulum_variabile","Sutterella_stercoricanis","Sutterella_wadsworthensis","Terrahaemophilus_aromaticivorans","Turicibacter_sanguinis","Varibaculum_cambriense","Veillonella_parvula","Veillonella_ratti","Victivallis_vadensis","Xylanibacter_oryzae"
"SC019-T1",0,0,0,0,0,45,0,52,36,0,0,0,0,0,0,438,19,0,0,0,0,0,0,553,0,0,0,0,0,172,0,165,0,0,0,157,0,340,0,173,299,0,301,0,0,0,63,0,0,0,0,0,0,633,0,0,0,0,35,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,248,53,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,103,0,131,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,464,35,0,0,131,0,0,0,76,69,1247,43,135,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,958,25,0,99,0,0,0,101,0,0,141,0,0,0,0,0,0,0,34,0,0,0,43,333,78,0,0,67,0,111,224,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,58,0,0,0,0,0,0,0,0,0
"SC019-T2",0,0,0,0,0,15,0,118,0,0,0,0,0,0,0,760,0,0,0,0,0,0,0,486,0,0,0,0,0,35,0,74,0,0,0,477,0,245,69,82,139,0,636,0,0,0,173,0,0,22,0,0,0,1154,0,0,0,49,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,1057,0,761,0,0,0,89,0,0,0,0,0,0,0,0,0,45,143,240,0,0,88,0,0,0,94,48,1148,54,285,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,104,0,0,0,107,0,0,715,0,0,13,0,0,0,0,0,0,109,0,0,0,0,0,0,98,96,0,58,0,129,434,413,0,0,29,0,276,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC019-T3",0,0,0,0,0,34,0,34,4,0,0,0,0,0,0,599,0,31,0,0,0,0,0,847,0,22,12,0,0,67,0,188,0,0,0,543,0,518,0,177,116,0,583,0,0,0,95,0,0,0,0,0,0,1012,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,61,0,0,0,190,0,0,0,0,0,0,0,0,0,0,90,90,0,0,82,0,0,0,0,42,1295,72,335,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,29,0,0,0,115,0,0,667,8,0,27,0,0,0,0,0,0,117,0,0,0,0,0,0,0,46,0,31,0,5,114,145,0,0,47,0,60,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC019-T4",0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,174,0,0,0,3106,0,380,0,28,114,27,450,0,0,0,50,0,0,50,0,0,0,871,0,0,0,55,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,36,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,532,0,0,0,119,0,0,0,0,0,0,0,0,0,0,108,216,0,44,54,0,0,0,0,39,1487,42,201,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,160,0,0,0,85,0,0,217,17,0,0,0,0,0,0,0,0,87,0,54,0,0,0,0,129,0,0,60,0,20,135,259,0,0,0,0,158,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC019-T5",0,0,0,0,0,37,0,27,11,0,0,0,0,0,0,350,0,0,0,0,30,0,0,574,0,11,0,0,0,47,51,145,0,0,0,1569,0,312,0,101,73,0,292,0,0,0,64,0,0,32,0,0,0,739,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,74,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,164,0,122,60,0,0,0,48,30,1472,70,157,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,142,0,0,0,62,0,0,127,11,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,159,0,501,0,0,0,0,30,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC019-T6",0,61,0,0,0,20,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,918,0,0,0,0,0,0,0,58,0,0,0,2590,0,487,0,40,75,45,326,0,0,0,67,0,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,100,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,439,0,204,0,0,0,87,0,0,0,0,0,0,0,0,0,0,22,216,0,0,0,0,0,0,0,37,2085,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,127,0,0,0,102,0,0,192,0,0,11,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,138,118,267,0,0,0,0,59,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC021-T1",0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,875,0,0,0,93,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,1521,0,1901,1524,193,0,0,0,0,143,561,0,0,0,0,0,454,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,213,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,431,0,0,0,772,0,0,21,0,1020,0,215,0,0,0,0,0,35,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,116,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,151,0,495,197,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC021-T2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,1122,0,1535,847,0,0,0,0,0,117,624,0,0,0,0,0,438,0,571,0,0,0,0,0,0,0,0,0,0,0,100,0,59,0,0,0,0,562,0,0,0,0,0,0,0,84,0,0,0,0,0,31,15,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,228,111,0,0,0,1413,0,0,26,0,1820,24,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,138,0,489,144,0,0,0,0,0,0,0,0,0,0,0,695,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC021-T3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736,0,0,0,74,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,1362,0,1927,914,0,0,0,0,0,70,328,0,0,0,0,0,326,0,380,0,0,34,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,488,0,0,0,0,0,0,0,141,0,0,0,0,0,20,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,78,248,0,0,0,2416,0,0,27,0,2785,34,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,131,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,947,0,0,0,81,0,581,192,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC021-T4",0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,577,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,1903,22,2564,642,134,0,0,0,0,1001,2505,0,0,0,0,0,407,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,11,0,0,161,0,0,0,0,0,16,52,0,0,0,0,0,0,0,45,0,98,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,22,0,288,0,0,0,288,0,0,11,0,474,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,95,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,510,0,0,0,82,0,462,493,0,0,0,0,0,0,0,0,0,0,0,291,0,0,40,0,0,0,0,0,0,0,0,0,0
"SC021-T5",0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,766,0,0,0,160,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,1807,0,1738,1381,73,0,0,0,0,144,374,0,0,0,0,0,300,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,91,0,0,0,0,0,17,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,144,480,0,0,0,748,0,0,15,0,1749,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,99,0,0,0,0,0,0,108,0,0,0,15,0,0,0,0,0,0,0,421,0,0,0,319,0,701,534,0,0,0,0,0,0,0,0,0,0,0,593,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC021-T6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1689,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,1288,36,585,1433,0,0,0,0,0,131,389,0,0,0,0,0,466,0,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,342,28,0,0,0,0,0,0,66,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,89,312,193,0,0,0,1145,0,0,34,0,2115,22,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,110,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,340,0,442,230,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,67,0,0,0,0,0
"SC022-T1",0,0,0,0,0,85,0,623,0,8,0,0,0,0,0,700,13,26,0,0,0,0,0,0,371,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1829,0,42,0,0,0,0,668,0,0,0,0,8,0,121,0,0,0,24,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,102,23,0,0,0,0,0,0,92,0,0,0,0,0,0,51,0,0,23,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,418,27,0,360,175,0,0,103,592,0,0,0,12,359,110,28,0,0,49,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,82,0,0,380,0,0,0,134,0,0,0,0,0,0,0,0,0,0,45,0,40,0,0,0,0,0,3246,0,0,0,0,0,694,274,0,0,0,0,0,0,0,0,0,0,38,0,0,114,159,0,0,108,0,75,0,0,0,0,0
"SC022-T2",0,0,0,0,0,23,69,499,0,14,0,0,0,0,0,913,10,42,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,27,0,0,0,0,0,1679,0,0,0,0,0,0,783,0,0,16,0,46,0,320,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,108,0,0,0,0,0,0,87,0,0,15,0,0,0,0,95,0,0,0,0,0,18,0,0,0,51,154,0,0,0,0,0,0,130,41,0,156,316,0,0,89,520,0,0,0,0,370,127,40,0,0,0,0,0,140,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,84,0,0,663,0,0,0,182,0,0,0,0,0,0,0,0,0,0,28,0,0,54,0,263,0,0,2012,0,0,0,21,0,620,195,0,0,0,6,0,0,0,0,0,0,0,0,0,0,165,0,0,87,0,0,0,0,0,0,0
"SC022-T3",0,0,0,0,0,70,11,422,0,0,0,0,0,0,0,1648,0,27,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1359,0,0,0,0,0,0,748,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,17,70,0,3,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,328,37,0,170,228,0,0,73,109,27,0,0,0,48,137,145,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,31,41,0,0,741,0,0,0,95,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,140,0,0,3670,0,0,13,63,0,1006,83,0,0,0,0,0,0,0,0,0,0,19,0,0,40,0,0,0,113,0,47,0,0,0,0,0
"SC022-T4",0,0,0,0,0,64,28,1266,0,32,0,0,0,0,0,1326,66,17,0,0,0,0,0,0,207,0,0,0,0,53,0,0,0,106,0,0,0,0,0,1922,0,20,0,0,0,0,830,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,257,30,0,0,308,0,0,56,252,24,0,0,0,52,102,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,69,0,0,1063,0,0,0,203,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,1995,0,0,129,0,0,610,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,8,0,0,0,0,0
"SC022-T5",0,0,0,0,0,170,58,1410,0,10,0,0,0,0,0,568,45,19,0,0,0,0,0,0,395,0,0,0,0,118,0,0,0,0,0,0,0,0,0,3672,0,56,0,0,0,0,172,0,0,0,0,13,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,72,0,0,0,0,0,0,92,0,74,0,0,0,0,0,372,0,0,0,0,0,25,0,0,0,0,193,0,0,0,0,0,0,123,27,0,168,122,0,0,48,43,90,0,0,0,183,84,0,0,0,0,0,0,78,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,225,0,0,1291,0,0,0,587,0,0,0,0,0,0,0,0,0,0,36,0,0,54,0,118,0,0,3573,0,0,58,0,0,675,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,192,0,6,0,0,0,0,0
"SC022-T6",0,0,0,0,0,0,57,582,0,0,0,0,0,0,0,1714,0,8,0,0,0,0,0,0,526,0,0,0,0,23,0,0,0,364,0,0,0,0,0,1844,0,78,0,0,0,0,781,0,0,12,0,84,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,164,0,0,0,0,0,0,0,17,0,0,0,0,0,0,82,0,12,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,167,0,0,0,0,0,0,0,17,0,0,545,0,0,0,1695,0,0,0,0,1095,165,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,30,0,0,345,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,0,1565,0,0,0,75,0,904,140,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,75,0,0,0,0,0,0,0
"SC023-T1",0,0,0,0,0,36,37,0,248,0,0,0,0,0,0,163,0,5,0,0,0,0,0,0,0,912,0,0,0,31,0,0,0,51,0,44,0,207,0,226,734,0,1039,104,0,0,57,124,130,0,0,0,0,85,0,0,0,17,8,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,303,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,62,0,68,0,311,0,0,0,0,0,0,0,0,0,42,0,199,0,0,66,1588,33,0,0,0,1231,81,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,17,379,0,0,62,0,0,0,0,0,0,35,0,0,0,0,55,0,0,117,0,0,0,333,758,0,0,51,0,0,636,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"SC023-T2",0,0,0,0,0,35,23,0,324,28,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,436,0,0,0,18,0,0,0,127,0,9,0,95,0,370,775,0,1680,159,0,0,113,147,201,26,0,0,0,39,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,32,0,0,148,0,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,110,0,0,0,0,80,0,44,0,292,9,0,0,0,0,0,0,0,0,0,0,334,0,0,24,628,13,0,10,0,667,98,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,886,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36,0,0,36,0,0,0,607,1120,0,0,0,0,0,338,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"SC023-T3",0,0,0,0,0,0,22,0,275,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,355,0,0,0,75,0,0,10,80,0,21,0,162,0,579,739,0,1102,149,0,0,0,205,183,19,0,0,0,61,0,0,30,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,13,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,35,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,193,0,0,34,1526,0,0,14,0,942,62,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36,0,0,308,0,0,319,0,0,0,0,0,0,32,0,0,0,0,53,0,0,32,0,0,0,316,578,0,0,0,0,0,419,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC023-T4",0,0,0,0,0,0,61,0,248,0,0,0,0,0,0,0,0,0,0,204,0,0,13,0,0,371,0,0,0,85,0,0,5,85,0,21,0,52,0,450,526,0,1292,223,0,0,228,220,295,0,0,0,0,126,0,0,0,0,16,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,141,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,222,0,0,15,558,6,0,0,0,718,107,269,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,602,0,0,109,0,0,0,0,5,0,0,0,0,0,0,92,0,0,100,0,29,0,239,456,0,0,0,0,0,239,344,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8,0,0,0,0,0
"SC023-T5",0,0,0,0,0,12,0,0,209,22,0,0,0,0,0,122,0,0,0,52,0,0,0,0,0,602,0,0,0,25,0,0,0,0,0,125,0,72,19,339,794,0,788,30,0,0,62,20,124,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,208,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,187,0,0,0,0,0,0,0,0,0,0,0,266,0,0,36,1088,0,0,33,0,1716,35,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,69,0,0,0,20,0,0,159,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,140,29,52,0,0,459,493,0,0,121,0,0,331,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC023-T6",0,0,0,0,50,114,97,0,613,28,0,0,0,0,0,39,0,0,0,0,29,0,0,0,0,909,0,0,0,118,0,0,0,139,0,131,0,419,0,1145,1220,0,553,25,0,0,0,55,75,35,0,0,0,80,0,0,0,0,51,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,75,0,90,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,897,0,0,0,0,1384,79,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,74,481,0,0,0,0,0,0,318,0,0,95,0,0,0,0,0,0,43,0,0,0,0,32,0,38,0,0,0,0,174,262,0,0,0,0,0,124,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,46,0,0,0,0,0,4,0
"SC024-T1",0,0,0,27,0,76,0,0,364,0,49,0,0,0,0,151,8,0,0,0,0,0,0,0,0,40,0,0,0,0,0,795,0,29,0,946,0,0,0,129,2182,0,0,0,0,0,67,0,0,0,0,0,0,195,0,0,0,135,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,473,0,0,0,0,9,0,0,240,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,92,0,339,0,0,0,0,0,0,208,0,2785,86,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,251,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,592,80,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
