"sample_id","2-aminoadipate","2-hydroxy-3-methylpentanoate","3-hydroxyanthranilic acid","4-acetamidobutanoate","alanine","arginine","asparagine","aspartate","citrulline","gentisate","glutamine","glycine","histamine","histidine","homovanillate","imidazole propionate","imidazoleacetic acid","indole","indole-3-propionate","indolelactate","isoleucine","leucine","lysine","methionine","methylimidazole acetic acid","N6-acetyl-L-lysine","ornithine","phenylalanine","phenyllactate","pipecolic acid","proline","quinolinate","serine","taurine","threonine","tryptophan","tyrosine","urocanic acid","valine","xanthurenate"
"9014-D_S",115267,5038199,312,14640,159464,2026585,64808,15007779,106747,4877445,1493800,23329,23,124685050,1683377,798,75330,58352,21764472,1679375,77861967,129657364,955239,123849,5590,9160,33609242,88194121,910543,33076,2329599,3175955,29186,459075,82818,55440961,18871687,28047,130795482,NA
"9002-A_S",359371,6778368,198,12223,144949,1912153,55716,17949577,103832,3058840,1446947,23103,NA,130321363,2906442,1516,247750,62508,871782,4096208,85393087,141752241,878935,139269,230319,5524,43304953,85152656,1654215,98649,2728357,1996738,23815,309091,57338,62660735,15982098,31415,136306996,98329
"9013-A_S",362397,4449427,359,8691,135988,2024106,49905,15736808,107050,NA,1202605,12429,71,114035016,1437168,383,154266,43396,NA,1525035,106105496,180331246,1338463,156057,NA,5817,34637702,114123527,899142,19232,3803000,3114221,21667,321231,67725,91270623,27045266,53417,175994157,NA
"9013-B_S",415268,4550214,50,10658,100108,1822230,48612,14766515,101838,NA,1214652,12297,165,121334579,1757417,232,133390,51181,NA,1331805,115295940,208556878,1332444,135083,7846,5987,36990479,107955565,564595,17645,3344541,3064341,22596,280298,58807,74529252,21503976,49495,188182785,143397
"9008-B_S",268256,6102024,303,9249,123814,1440382,41902,8456709,83662,2140482,1207768,26636,179,84482964,2055006,316,118373,45955,4052994,1984400,92294091,151579702,717803,129630,4135103,5469,23642037,92325013,774186,12264,3622247,4197218,24180,272300,73401,63916806,14273652,47125,151539738,95673
"9008-C_S",173248,7094153,312,14688,123618,1686584,72637,7534582,69744,184108,1093188,14823,NA,89581515,2648902,255,68100,69397,NA,1646476,96817563,119320483,594421,102138,3531,5873,33966655,70059665,NA,27171,2536054,4212578,17945,228385,68309,68620275,22310604,40406,142645241,37322
"9008-D_S",218612,6889756,250,13312,108840,1514524,57114,10884731,54928,1834259,1161732,14874,106,90286388,2405851,917,63241,62161,8792797,1652083,88581059,146198351,662808,114431,118380,5652,29278514,85269963,672041,66418,2077935,3884376,21648,295209,62746,61260430,17938953,37045,140238900,76007
"9006-A_S",642863,5063223,322,7539,130642,1862699,47241,12988087,72497,1381523,1091868,14834,45,108148597,1495635,1063,120835,44984,NA,2438355,90519470,159987049,1259501,147642,801077,6300,30337054,105067232,601722,23408,3752250,2894255,22393,309155,68680,86616347,23110726,28247,155624741,NA
"9002-C_S",246901,6216569,69,9127,144003,1552019,53155,14228981,61472,77741,1371483,23587,NA,146156577,2787544,638,129434,53523,NA,2630550,79818731,137102808,976999,148430,40734,5053,41551349,79053152,1147883,18915,3220762,2509196,26706,281897,63229,52814913,17477632,95555,118522084,NA
"9006-B_S",648551,6757251,405,8079,146436,2047202,55958,12600923,73988,779231,1224644,15429,16,118973715,1966964,596,100242,46349,522236,2461627,116240391,176729762,1439626,174080,1095794,6661,34535883,110383223,872623,26222,3776669,3204097,25513,331094,86911,88108778,22676603,66667,170866254,119641
"9006-C_S",789207,5336788,450,6323,145067,1880709,56177,12496663,47323,NA,1135957,17248,NA,119983766,1440310,528,88789,50171,NA,2635084,90767066,153114816,1354291,163418,368823,6573,32258019,101482644,624210,26224,4272478,3757111,22093,334536,81367,72159695,20090934,41440,144436734,89905
"9013-C_S",440655,4715700,283,8808,113132,1597463,51727,18466386,60384,NA,1265822,12494,125,117275411,1639487,380,145667,40541,NA,1368313,115585921,200640201,1330946,153312,9857,6145,32265207,114016754,530608,18064,3633847,3559199,21452,303957,65835,70398513,23686381,62404,189577384,NA
"9013-D_S",444285,4854441,385,9858,104480,1654983,45202,23477553,83521,NA,1178906,11222,NA,112751581,1845623,277,127998,45361,141120,1403899,97114600,197006001,1195273,135665,19992,6014,28650709,103307180,407526,16743,3009215,3627582,17162,325424,53991,68329132,23597569,65420,178409601,NA
"9013-E_S",224722,3266278,264,12335,146223,1857371,47662,15071644,105902,1576771,1325249,12830,NA,111628078,1696986,1338,96720,44226,1463932,1595619,72959909,133638798,781519,123914,147950,5455,34990540,93647154,451390,24224,3719865,3031846,19708,348434,68377,61103433,25453652,108600,124301447,188764
"9010-A_S",186579,6296073,217,6846,136712,1815317,44117,8488695,76225,2194088,1207586,19770,1805,94292697,1946428,1620,116865,51206,62290,1171125,63901102,102630961,677632,106248,836286,4739,20782499,84106090,1361126,21887,2919216,3931037,29852,249815,88241,60316603,18990559,86452,106291276,NA
"9010-B_S",253052,6263857,246,6553,95791,1505173,46068,7655969,63860,1053786,1077483,17434,873,105796207,1948361,642,107180,41145,1547171,1061891,89979185,128754087,856120,98841,618900,5010,22491029,75217382,957440,22303,2427469,4306189,30009,207348,107887,54684072,12884749,54211,139861631,NA
"9010-C_S",335144,5195834,381,5228,138320,1315635,54494,9304113,33159,26806,1104715,20242,272,108001534,1393543,1024,84519,45570,NA,983435,84556078,134475217,743890,110044,422756,4807,16620071,90743214,1065164,23347,3281057,3899062,26890,230229,86283,54232757,14168752,34081,130783837,121795
"9010-D_S",284596,6136510,351,7467,74303,1020317,34380,8299019,51664,1831371,923331,13579,329,97237760,1721388,733,83642,46134,1916251,1856079,74363473,118036392,734034,82608,733368,4729,11132200,70043102,948461,21084,2108384,3830666,21947,226691,56847,54829631,11605914,32779,128330212,163682
"9010-E_S",244160,5155044,233,6707,125206,1061115,36549,8089493,47810,1608356,961215,15371,NA,88783438,1539430,914,66924,50722,1227753,1193540,61836230,89480293,669086,95456,839739,3817,16411426,76630540,1547387,25887,2342567,3260111,20245,286391,65536,52054891,12904583,53341,108000016,81952
"9006-D_S",721227,5289752,466,8420,134552,1822414,54723,9964458,79387,2057095,1198052,15994,39,113449369,1854014,416,83567,48048,2921823,2878799,101990593,185999158,1360293,164632,1006178,7287,42917000,112563896,774850,31341,4099748,3163758,22632,370711,73132,83208381,25030122,43260,172072016,NA
"9006-E_S",872555,5333183,342,9952,131865,2051910,51649,11514973,89697,2782228,1185460,15197,NA,115819276,2128306,902,107351,55536,3011880,3280736,90799269,142458561,1396121,157412,1297603,7540,35733581,92145257,606538,29369,3628299,3203251,22409,392780,100567,79467634,25198805,52017,158588613,148154
"9005-A_S",401997,8576994,486,8674,148399,1386954,38093,6317650,83680,932803,1166690,20025,29,83215380,2829682,1009,91306,46199,237062,3899206,87700459,144476163,647817,158109,2611091,5964,30379252,76637082,1623402,15391,6798822,5536035,15088,238708,71267,68441236,23001532,73529,174093703,78942
"9005-B_S",309165,7793740,388,10029,154599,1440380,44629,9342288,85680,696754,1263312,28355,65,94431171,2271781,735,131059,49578,NA,3113185,80140416,161590047,807104,130887,4340528,6439,27752243,99851724,1602676,12179,3924457,4319718,18564,280371,65198,66383242,18929162,85586,154561974,46362
"9005-C_S",485670,9487745,20,9376,149610,1433260,40597,13893034,71229,NA,1215485,25549,196,84274386,2837915,759,141695,47122,NA,3352894,87872004,152402274,692989,131105,3563009,5707,20273569,98849601,1789094,10273,3868440,4226790,19266,267424,67653,75576727,17159006,104857,139101730,172977
"9040-E_S",444343,7767887,371,10423,144730,1484617,38721,24454027,74331,531102,970641,12119,646,87126581,3629207,1165,69387,44964,2785957,3008699,90948216,162384057,718042,151982,1064428,5303,16044579,93282777,2355778,17945,2128420,1924673,14187,241704,52115,76080458,28231594,55319,160803068,251965
"9038-A_S",553710,5627122,424,12528,212300,1565887,37697,11104322,65160,NA,962878,9486,347,105043264,2217191,596,64564,39109,NA,1758087,100423093,171246796,1464352,119169,7547,6109,25385425,82728293,472800,23681,4330295,3583300,14267,256307,67590,48096729,26778645,37739,206419291,200426
"9038-E_S",398759,5106391,422,12319,166746,1486788,33380,24052596,64286,1148912,1022001,9080,NA,102278266,2173418,598,64743,49040,2095640,2211290,90189636,160469706,1212776,110302,1241552,7458,27400721,77362608,515345,14738,3446732,3519728,15427,275507,59679,41048616,27559107,47760,183628001,179626
"9037-C_S",506830,9232229,109,6524,138096,1550102,53563,27141575,27110,NA,1004261,14491,286,81623011,2917383,448,72686,35424,NA,2355948,82246812,131095797,1081574,155861,1903771,3676,24385734,93499388,1103102,14323,3109895,3466368,19093,254425,62670,60951953,18841649,50103,135018928,127767
"9005-E_S",786289,6671026,980,10865,120608,1660607,44273,14187033,78158,1190570,1015496,12110,1094,76003331,3082753,1052,104678,44626,6736058,4679339,97174112,155448842,1084473,136674,8361,6413,20463307,92327034,1952488,12839,2733208,4242992,15001,239138,61123,59511074,27868161,52062,157553139,441376
"9004-A_S",82090,5082975,150,13404,108214,1346399,45964,15531499,70648,4258486,1235100,14470,NA,85333109,2655693,574,73309,60200,NA,5972120,86358210,124804123,521434,113601,5523,6174,22545076,74414852,956774,20282,2943054,1631963,12702,199651,67352,96875081,23108954,49122,111501326,NA
"9040-A_S",579630,8102180,415,9579,138457,1769497,37812,37170818,73550,2474598,1012609,11686,1439,88979633,3130786,1176,62912,41274,296593,3408455,121540423,182975247,760606,143745,1780996,4900,19682195,105341392,1536796,14186,2636178,2361805,13164,238099,48776,85975989,22864322,87506,169148962,205436
"9040-B_S",463584,8172399,237,10370,145193,1742756,43609,14779171,71758,2260331,1112778,11657,1006,90815479,3745938,1681,63610,35785,912379,3071225,116066450,177354400,831848,162621,2166715,4928,18432149,109843890,1688557,15151,2617978,3079248,14290,226115,57191,87658436,23491941,40690,166990312,102926
"9002-D_S",280461,5679697,88,10655,123619,1742666,49116,18030112,100019,4267115,1399955,19102,193,141530938,3138561,873,130272,59156,3524523,3696311,65332159,138442078,811773,122583,115540,4828,39093856,81897853,1522524,24733,3003767,1813344,20077,305731,53386,53413556,17128343,43450,139060587,175565
"9040-C_S",788671,9615967,598,8337,171975,1764149,49895,16689963,37070,54134,1092753,13439,2576,100287058,3924304,1390,62493,40050,NA,3094084,134079720,214134357,965597,175553,1200213,6565,22016050,121970941,1638773,16156,3031784,3305709,14823,271082,62005,83387610,27727802,49581,192052962,302281
"9040-D_S",527204,10035131,493,9047,188758,1979105,48058,15629123,71587,2261563,1116417,12584,631,97542611,4115904,908,80055,43702,7605917,2994681,122526105,198576991,853370,194587,1681074,5030,17943256,113384646,2026582,15754,2680754,2314435,14121,257885,56656,81895280,29379216,66180,169063138,271437
"9004-B_S",97475,4577732,14,14894,138429,1471692,56791,15178576,89418,5326044,1292120,15728,29,105015711,1995684,629,73548,54681,NA,1773562,72550749,128138554,834472,166548,7835,5757,24668187,92786672,1092900,15681,2975809,1889329,21529,224648,74465,63178701,21849200,39515,113308109,NA
"9038-B_S",433937,5205799,342,13389,204302,1178223,33394,11547284,56175,NA,893089,8900,186,75814547,2520873,329,49162,39578,NA,1552155,87614043,143924326,1173790,108556,3587,5453,19806262,82776537,460269,21485,4210665,3164073,11840,224215,68260,46801065,25106773,45587,183666150,125814
"9038-D_S",395730,6109688,449,14140,192082,1185634,35850,24189728,46789,NA,918218,8596,163,83401111,2882065,825,60387,40683,621920,1585212,101772121,172845487,1188983,114373,144357,5869,25081551,83540228,886004,22475,4000949,3187584,10592,309789,58198,43922721,30703960,30875,205654751,145550
"9037-A_S",481737,7850051,223,6104,132092,1586359,47624,25198660,49008,1242587,973471,12253,2107,72976381,2239757,851,95956,34472,NA,2241373,73876603,125645027,967300,155401,2422819,4161,20849128,96655752,1066501,18965,2954908,2360232,18775,252444,61776,67454764,19813134,33055,139058431,94698
