"sample_id","10.10_propan-1-ol","10.73_butanal","10.81_butane-2,3-dione","11.08_ethyl acetate","11.09_butan-2-one","11.35_butan-2-ol","11.68_methyl propanoate","11.71_chloroform","12.51_2-methylpropan-1-ol","12.53_2-methylpropane","13.10_3-methylbutanal","13.36_acetic acid","13.39_2-methylbutanal","13.83_3-methylbut-3-en-2-one","14.00_butan-1-ol","14.19_1-ethenylaziridine","14.51_pentan-2-one","14.55_S-methyl ethanethioate","14.58_1-sulfanylpropan-2-one","14.63_ethyl propanoate","14.72_Pentanal","14.72_pentane-2,3-dione","14.83_propyl acetate","15.14_methyl butanoate","16.41_ethyl 2-methylpropanoate","16.54_4-methylpentan-2-one","16.55_(methyldisulfanyl)methane","16.67_3-methylbutan-1-ol","16.89_propanoic acid","16.95_3-methyl-2,3-dihydrofuran","17.00_octane","17.02_toluene*","17.10_3-methylpentan-2-one","17.23_methyl 2-methylbutanoate","17.50_2-methylpent-1-en-3-one","18.12_ethyl butanoate","18.17_hexane-2,3-dione","18.23_hexan-3-one","18.49_propyl propanoate","18.56_hexan-2-one","18.73_hexane-3,4-dione","18.74_butyl acetate","18.84_hexanal","19.04_2-methylpropanoic acid","19.14_methyl pentanoate","20.01_ethyl 2-methylbutanoate","20.13_butanoic acid","20.15_heptan-3-one","20.53_1-cyclopropylpropan-1-one","20.73_2-methylpropyl propanoate","20.78_Ethylbenzene**","20.84_Nonane","21.25_5-methylhexan-2-one","21.38_furan-2-carbaldehyde","21.49_3-methyl-1H-indole**","21.56_(E)-hex-2-enal","21.60_2-methylhexan-3-one","21.78_hexan-1-ol","21.86_propyl butanoate","21.94_ethyl pentanoate","22.16_3-methylbutanoic acid","22.23_Styrene","22.24_butyl propanoate","22.39_2-methylbutanoic acid","22.46_heptan-2-one","22.52_pentyl acetate","22.66_3-isothiocyanatoprop-1-ene","22.77_heptanal","22.88_(3S)-3,7-dimethylocta-1,6-diene","22.91_methyl hexanoate","23.02_2,6,6-trimethylbicyclo[3.1.1]hept-2-ene","23.42_3-(methyldisulfanyl)prop-1-ene","23.65_propyl 2-methylbutanoate","23.66_pentanoic acid","23.84_S-methyl 3-methylbutanethioate","23.98_2-methylpropyl butanoate","24.11_3-methylsulfanylpropanal","24.22_2-methyl-6-methylideneoct-2-ene","24.35_methyl 2-methylpentanoate","24.45_(6E)-2,6-dimethylocta-2,6-diene","24.51_decane","24.61_2,2,4,6,6-pentamethylheptane","24.69_4-methyl-1-propan-2-ylbicyclo[3.1.0]hex-2-ene","24.76_6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane","24.76_7-methyl-3-methylideneocta-1,6-diene","24.84_6-methylheptan-2-one","25.14_2-pentylfuran","25.26_5-methylheptan-2-one","25.27_(2E,4E)-3,7-dimethylocta-2,4-diene??","25.44_butyl butanoate","25.47_(Z)-hept-2-enal","25.53_ethyl hexanoate","25.70_2-methyl-5-propan-2-ylcyclohexa-1,3-diene","25.79_octan-3-one","25.85_(methyltrisulfanyl)methane","25.95_4-methylpentanoic acid","26.00_6-methylhept-5-en-2-one","26.11_octan-2-one","26.14_benzaldehyde","26.45_Octanal","26.49_methyl heptanoate","26.56_(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene","26.69_1-methyl-4-propan-2-ylbenzene","26.93_hexanoic acid","27.02_butyl 2-methylbutanoate","27.12_1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane","27.16_1-methoxy-4-methylbenzene","27.16_butyl 3-methylbutanoate","27.19_2-methyl-4,5-dihydro-1,3-oxazole","27.48_1-methyl-4-propan-2-ylcyclohexa-1,4-diene","27.93_undecane","28.11_2,2,6-trimethylcyclohexan-1-one","28.46_methyl cyclohexanecarboxylate","28.55_Phenol","28.71_thiolan-2-one","28.81_propyl hexanoate","28.90_ethyl heptanoate","29.14_2-phenylacetaldehyde","29.22_3-(4-methylpent-3-enyl)furan","29.55_nonan-2-one","29.72_3,7-dimethylocta-1,6-dien-3-ol","29.81_methyl octanoate","29.89_nonanal*","29.90_1-phenylethanone","30.08_Heptanoic acid","30.22_pentyl 2-methylbutanoate","30.39_pentyl 3-methylbutanoate","30.61_2-methylpropyl hexanoate","30.62_2-methoxyphenol","30.76_ethyl cyclohexanecarboxylate","31.14_dodecane*","31.35_4-methylphenol","31.39_cyclohexa-1,4-diene","31.90_hexyl butanoate","31.91_butyl hexanoate","32.03_ethyl octanoate","32.04_cyclohexanecarboxylic acid","32.13_1-phenylpropan-2-one","32.66_6-methyloxan-2-one","32.67_1,3,4-oxadiazole","32.69_decan-2-one","32.72_4-methyl-1-propan-2-ylcyclohex-3-en-1-ol","32.81_1-Methyl-4-isopropyl-cyclohexyl 2-hydroperfluorobutanoate","32.84_methyl 2-phenylacetate","32.98_octanoic acid","33.05_Decanal","33.34_2-(4-methylcyclohex-3-en-1-yl)propan-2-ol","33.73_methyl 2-hydroxybenzoate","33.87_propyl cyclohexanecarboxylate","33.91_1,3-ditert-butylbenzene","34.19_4-ethylphenol","34.80_hexyl pentanoate","34.93_undecan-4-one","35.41_2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one","35.47_3-propan-2-ylbenzaldehyde","35.56_piperidin-2-one","35.71_undecan-2-one","35.76_methyl 3-phenylpropanoate","35.98_1-methoxy-4-[(E)-prop-1-enyl]benzene","36.09_3-ethyl-4-methylpyrrole-2,5-dione","36.51_2,3,5-trimethyl-4-methylidenecyclopent-2-en-1-one","36.51_4-ethenyl-4-methyl-1-propan-2-yl-3-prop-1-en-2-ylcyclohexene","36.83_(1R,5S,6R,7S,10R)-4,10-dimethyl-7-propan-2-yltricyclo[4.4.0.01,5]dec-3-ene","36.93_tetradecane","37.30_2,4-Decadienal","37.59_2-methyl-5-(6-methylhept-5-en-2-yl)cyclohexa-1,3-diene","39.01_1H-indole","40.94_1-methyl-4-(6-methylhept-5-en-2-yl)benzene","7.10_ethanol*","7.70_propanal","7.86_propan-2-one","7.97_methylsulfanylmethane","8.07_propan-2-ol","8.25_carbon disulfide","8.40_methyl acetate","8.46_acetonitrile","9.55_2-methylpropanal"
"166A",5929984,476784,16831488,NA,16706560,NA,NA,NA,NA,NA,19166208,25673728,13980672,2395392,NA,NA,17447936,NA,1092160,NA,NA,34877440,NA,NA,NA,NA,94183424,NA,30339072,NA,4424448,3420672,NA,NA,2970368,1263488,NA,NA,NA,2679296,NA,NA,9129984,45473792,898496,NA,438321152,NA,NA,NA,1267904,NA,NA,NA,33632256,NA,NA,NA,NA,NA,181370880,33029120,NA,125460480,12200960,NA,NA,3560960,NA,3746048,8665088,NA,NA,NA,11102208,NA,2790912,NA,NA,NA,20875264,7738880,NA,12584960,5239808,NA,4079616,1121792,NA,3561216,NA,3354112,3253248,NA,100761600,NA,17313792,NA,10693632,4525312,1756608,76685312,6033920,636026880,NA,NA,NA,NA,NA,4393728,1428288,NA,NA,6100480,NA,NA,NA,44363776,NA,4580864,863168,NA,4502528,958400,88137728,NA,NA,NA,NA,NA,29139968,1484455936,NA,2286592,1922176,NA,NA,1546176,2635264,NA,1093824,NA,NA,NA,5151488,NA,NA,NA,NA,1458560,NA,NA,NA,NA,NA,NA,1966656,NA,NA,NA,NA,769856,NA,2899200,NA,NA,316653568,477872,12767232,739136,19883008,245088,NA,810368,NA,NA,3187200
"3B",67149824,1063616,6884608,33640448,NA,NA,3542784,NA,NA,NA,16066560,89669632,38465536,4964096,NA,NA,12232704,9434112,NA,18253824,NA,NA,32459776,26510336,NA,NA,3681536,NA,217088000,NA,4996608,10221568,NA,NA,3511040,94908416,NA,NA,53239808,5572096,NA,30668800,8472576,89255936,8980480,NA,1187643392,NA,NA,1689088,1519936,NA,NA,NA,1301120,NA,NA,NA,214695936,23653376,336920576,NA,71565312,176455680,7713024,7746560,NA,3441408,NA,NA,106414080,NA,NA,675086336,NA,5750528,3482368,NA,NA,NA,7703040,NA,5580800,14210048,NA,1875584,4590592,4196096,NA,170393600,NA,NA,3463424,NA,2342656,NA,34373632,2667264,4852224,3794432,NA,7076864,2032896,5836032,2228736,2149120,NA,1209216,NA,NA,NA,NA,NA,43073536,NA,NA,NA,41717760,NA,1277696,942400,NA,3439616,NA,NA,NA,NA,NA,NA,1529856,4688896,114245632,NA,NA,NA,NA,11744256,NA,NA,NA,NA,NA,NA,NA,1789184,NA,NA,1964864,1521472,NA,2492672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198393856,NA,52740096,1766848,24856576,2144256,NA,9829376,4676608,NA,2404352
"11B",NA,NA,14706688,NA,24522752,NA,NA,NA,NA,NA,138002432,NA,74706944,2061888,NA,NA,2161408,NA,NA,NA,NA,12773376,NA,NA,NA,NA,3337984,NA,12914688,NA,NA,1564096,NA,NA,NA,NA,2126592,NA,NA,NA,NA,NA,4512512,NA,NA,NA,7895040,4064768,NA,NA,NA,NA,NA,457408,574029824,NA,NA,NA,NA,NA,NA,38133760,NA,3237376,5021440,NA,NA,1759552,608064,NA,NA,NA,NA,3444736,1125888,NA,9254912,NA,NA,NA,1131648,NA,NA,2855168,3082752,NA,NA,NA,NA,NA,NA,NA,6820096,NA,NA,NA,25961472,NA,23362560,1446848,NA,39411712,2164736,NA,NA,1409088,NA,NA,NA,1644288,NA,NA,NA,36003840,NA,NA,NA,85458944,NA,NA,NA,NA,634752,NA,NA,NA,NA,NA,NA,NA,NA,822214656,NA,NA,NA,NA,NA,642816,NA,NA,NA,NA,NA,NA,NA,314096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,469368832,NA,10004480,574656,28120064,1215616,NA,NA,NA,NA,18955264
"19B",5544960,NA,5203456,NA,12804096,NA,NA,NA,NA,NA,35102720,NA,13734912,3978240,NA,NA,1905152,NA,NA,NA,NA,7575552,NA,NA,NA,NA,110956544,NA,15572992,NA,3528448,4975104,NA,NA,3050496,1115200,1551360,NA,NA,1448832,NA,NA,7616256,9468928,NA,NA,87629824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,667456,327680,45895680,60399616,NA,40071168,2752256,NA,NA,4169984,NA,NA,13005824,NA,NA,46854144,45678592,NA,6054656,NA,NA,NA,11415552,NA,NA,17211392,4514048,NA,6094592,NA,1459008,3318528,NA,NA,NA,NA,33918976,NA,7318784,659840,6762496,12038144,NA,566165504,19137536,NA,NA,NA,1864512,NA,NA,27815936,NA,NA,NA,5461504,NA,NA,NA,49602560,NA,783552,819968,NA,4751360,389904,NA,NA,NA,NA,NA,NA,11268096,1471414272,523829248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255584,NA,193136,NA,NA,NA,NA,NA,NA,NA,NA,NA,429312,NA,NA,NA,1260480,NA,NA,439336960,NA,9628672,NA,18547712,NA,2951680,NA,NA,NA,4721920
"22B",10958848,870784,10164224,NA,29155328,NA,NA,NA,NA,NA,19149824,5585920,14668800,4482304,NA,NA,8198656,NA,NA,NA,11628544,9901056,3703040,1566464,NA,NA,104628224,NA,25995264,NA,4816128,4633344,NA,776640,7813888,1453568,NA,NA,NA,5070336,NA,5274368,9858048,24118272,664576,NA,302743552,NA,NA,NA,740480,1276096,NA,NA,37732352,NA,NA,NA,1409344,NA,101728256,52707328,NA,72024064,7330816,NA,NA,4346368,NA,NA,9290752,NA,NA,161792000,7687168,NA,NA,717952,NA,NA,3686144,NA,NA,63262720,8848384,2004928,2969856,1939584,958976,2806784,NA,NA,6124288,NA,57233408,NA,26937344,NA,23732224,2136064,NA,69578752,74215424,NA,NA,NA,1428096,NA,NA,113741824,NA,NA,NA,80969728,671680,NA,NA,25320448,NA,3233536,1531520,NA,1607424,755264,NA,NA,NA,NA,NA,NA,2603264,1459683328,515473408,NA,NA,NA,NA,NA,NA,NA,1013312,NA,NA,NA,NA,NA,NA,173488,NA,485072,NA,NA,NA,NA,NA,NA,1210304,NA,2461696,NA,NA,NA,NA,1136064,NA,NA,549191680,NA,9325568,2368512,40763392,567296,2372608,1223552,NA,NA,3508736
"23B",NA,NA,4951552,NA,14866432,NA,NA,NA,NA,NA,79114240,NA,42459136,1444992,NA,NA,8300288,NA,NA,NA,2817280,10160128,NA,NA,NA,NA,4516352,NA,NA,NA,NA,71704576,4755200,NA,3717120,NA,2208512,858560,NA,3979008,NA,NA,2302464,NA,NA,NA,10146816,1861248,NA,NA,1000128,NA,NA,NA,NA,NA,NA,NA,NA,NA,2237440,63057920,NA,NA,3057664,NA,NA,1827328,1162496,NA,231784448,NA,NA,2648832,NA,NA,6042112,NA,NA,NA,2852608,NA,NA,40939520,NA,NA,1986944,1265472,NA,NA,1034816,NA,29637632,NA,NA,NA,14669824,NA,24174592,2786560,NA,120475648,44871680,NA,NA,9584640,NA,NA,NA,11777024,NA,NA,NA,20815872,NA,NA,NA,53239808,NA,1119872,990080,NA,786688,551872,NA,NA,NA,NA,NA,NA,674944,1017446400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,536000,NA,NA,NA,NA,295911424,NA,NA,NA,24033280,NA,2336512,NA,NA,NA,11029504
"27B",5692416,NA,21052416,NA,16486400,3409408,NA,NA,NA,NA,139264000,NA,77697024,1042048,NA,NA,6474240,NA,NA,NA,NA,82653184,NA,NA,NA,NA,26406912,NA,13888512,NA,NA,111857664,NA,NA,4360448,NA,NA,763520,NA,1688320,NA,NA,7125760,3770368,NA,NA,59293696,NA,NA,NA,NA,2499840,1126208,NA,34283520,NA,NA,NA,NA,NA,10476544,70189056,NA,9932800,7271424,NA,NA,2550016,2059584,NA,30332928,NA,NA,14026752,4559616,NA,5599232,NA,NA,NA,5090816,5821952,NA,20716544,NA,NA,2199040,877504,750272,NA,NA,NA,3817984,NA,NA,NA,5535744,NA,15394816,1924416,NA,29680640,8201216,NA,NA,1103488,NA,NA,NA,4822784,NA,NA,NA,6355200,NA,NA,NA,67395584,NA,1295552,NA,NA,1611200,1071616,NA,NA,NA,NA,NA,NA,2025344,466780160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,532352,NA,NA,NA,NA,NA,NA,NA,NA,NA,179781632,NA,14911488,840256,10949632,3671552,NA,NA,NA,NA,23022592
"29B",NA,NA,10725376,NA,18037760,NA,NA,NA,NA,NA,93224960,NA,45494272,2733568,NA,NA,2979584,NA,NA,NA,NA,26622976,NA,NA,NA,NA,95809536,NA,13768704,NA,NA,5223424,NA,NA,2992640,NA,3607296,NA,NA,1727104,NA,NA,8882176,5974784,NA,NA,46948352,7615744,NA,NA,830592,NA,NA,196592,5268992,NA,NA,NA,NA,NA,22599680,50491392,NA,19040256,4466944,NA,NA,1661952,NA,NA,NA,NA,NA,16054272,1294208,NA,5506304,NA,NA,NA,2901760,NA,NA,2599424,2726912,NA,NA,NA,508592,NA,NA,NA,2116864,NA,12816384,NA,9671680,NA,26030080,952000,NA,5435392,1609920,NA,NA,NA,898432,NA,NA,NA,NA,NA,NA,5721600,NA,NA,NA,70283264,NA,633024,NA,NA,816448,966016,NA,NA,NA,NA,NA,NA,2365696,1403715584,NA,NA,NA,NA,NA,1507968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,823424,NA,NA,NA,589248,NA,NA,203997184,NA,9072640,NA,17584128,5111040,NA,NA,NA,NA,12728320
"31B",24790016,NA,28611584,10572800,NA,1312064,NA,NA,NA,NA,60911616,7352320,26758144,3117056,13071360,NA,5740800,NA,NA,4904960,NA,15251456,NA,2514432,NA,NA,NA,NA,22547456,NA,NA,3859712,NA,NA,3132672,NA,85139456,NA,NA,NA,2534912,4260608,3550464,6061568,NA,NA,482852864,NA,NA,NA,NA,NA,1934912,NA,175210496,NA,NA,NA,1611264,NA,29342720,42766336,NA,19145728,5209088,NA,NA,1585280,NA,NA,NA,NA,NA,95830016,20198400,NA,7110912,NA,NA,NA,926848,NA,NA,NA,NA,2187520,NA,2110208,NA,2768896,NA,NA,NA,NA,NA,7478784,6193152,NA,20785152,2507520,NA,2823168,606400,NA,NA,NA,NA,NA,NA,591680,NA,NA,NA,18971648,1286784,NA,NA,64585728,NA,2163968,353072,NA,711872,432336,NA,NA,NA,NA,NA,855360,NA,222461952,NA,NA,NA,NA,3206144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1295552,NA,NA,935744,NA,NA,NA,NA,NA,NA,105365504,NA,50536448,NA,7682048,242528,2471168,NA,1050880,NA,7940096
"33B",10555392,NA,6212864,NA,11739136,NA,679360,NA,NA,NA,36737024,23219200,16782336,4889600,NA,NA,36483072,NA,NA,NA,2957056,NA,NA,5333504,NA,NA,1567424,NA,37568512,NA,1530304,6714368,NA,NA,4692992,NA,5725952,NA,NA,9808896,NA,3404288,5883392,18994176,3788800,NA,436895744,NA,NA,NA,721280,NA,2263552,NA,40132608,NA,NA,NA,2416896,NA,77012992,45600768,NA,55963648,55783424,NA,NA,3181056,NA,11634688,2754560,NA,NA,NA,8591360,NA,5684992,NA,NA,NA,2851584,NA,715136,NA,NA,2577152,1014592,4161792,NA,2358528,NA,NA,NA,1226432,NA,NA,28297216,14416896,12219392,3617792,3010048,2234112,NA,408715264,NA,NA,NA,NA,NA,NA,NA,NA,NA,22045696,NA,NA,NA,89485312,NA,4333568,889280,NA,2251776,NA,29130752,NA,NA,NA,NA,NA,1433664,1264975872,NA,NA,773952,NA,NA,1368896,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000256,NA,NA,NA,NA,NA,738816,NA,NA,1041792,NA,NA,NA,NA,NA,NA,NA,NA,NA,265371648,NA,8650752,NA,12368896,919232,2326272,NA,3504640,NA,5445888
"35B",5960448,NA,10456064,NA,41213952,1405824,NA,NA,1135744,NA,71315456,4383488,34209792,2685952,NA,NA,12535808,NA,NA,NA,9213952,18722816,NA,NA,NA,NA,70578176,NA,15977472,NA,NA,2267136,NA,NA,5851136,NA,2747392,NA,NA,6863104,NA,NA,11709440,6340352,NA,NA,85905408,NA,NA,NA,1018944,NA,NA,NA,15182848,NA,NA,NA,NA,NA,28318720,56295424,NA,21325824,11695104,NA,NA,2531072,1578112,NA,NA,1681856,NA,44474368,3633920,NA,6993408,NA,NA,NA,1243328,NA,1723456,1802304,NA,1555200,1102720,NA,718080,NA,1088448,NA,NA,1060736,27284480,NA,60903424,NA,26518528,1468032,NA,323321856,2016576,NA,NA,NA,NA,NA,NA,1285824,NA,NA,NA,53813248,635200,NA,NA,69722112,NA,5258752,784064,NA,1154112,743424,NA,NA,NA,NA,603648,NA,564992,879296512,232718336,NA,NA,NA,NA,763264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18159616,NA,NA,NA,NA,NA,2595072,NA,NA,NA,NA,NA,NA,NA,NA,NA,611713024,NA,10117120,NA,71766016,2805504,NA,NA,NA,NA,9432064
"39B",NA,NA,11636736,NA,36409344,NA,NA,NA,NA,NA,112226304,NA,54206464,1995648,NA,NA,22561792,NA,229536,NA,NA,42549248,NA,1134144,NA,NA,25016320,NA,20684800,NA,NA,2414336,NA,620288,2637312,NA,NA,624896,NA,8906752,NA,NA,12456960,8636416,673280,NA,159678464,NA,NA,NA,NA,NA,2320640,NA,11932672,NA,NA,NA,314288,NA,39477248,80248832,NA,25972736,28454912,NA,NA,2947072,2709760,1686400,24815616,NA,NA,103563264,NA,NA,8110848,NA,NA,NA,2395136,NA,NA,32106496,NA,NA,1381760,NA,2324992,NA,1582720,NA,30816256,NA,NA,NA,15412224,9242624,20762624,1985984,NA,92000256,20514816,NA,NA,NA,NA,NA,NA,2859264,NA,NA,NA,15929344,NA,NA,NA,105906176,NA,2370048,4842496,NA,1870656,1407296,NA,NA,NA,NA,NA,NA,1800128,620691456,NA,NA,NA,NA,NA,835968,NA,NA,NA,NA,NA,NA,NA,NA,493824,NA,NA,NA,3937280,NA,NA,NA,NA,NA,938560,NA,NA,NA,NA,1419712,NA,NA,NA,NA,734920704,NA,22192128,1144384,44134400,2194176,2471680,1932160,3008768,NA,14879744
"41B",23245824,430576,4651264,NA,14998528,2775552,NA,NA,647360,NA,12956672,43728896,20248576,3414016,NA,NA,13943808,NA,NA,3151360,4532224,NA,5887232,17036288,NA,NA,3009792,NA,52760576,NA,NA,1541696,NA,NA,3631616,48103424,NA,NA,5558272,5842432,NA,10830848,5351168,39206912,6094592,NA,872611840,NA,NA,NA,1300480,NA,NA,NA,20227072,NA,NA,NA,80494592,12674048,152797184,98217984,NA,98729984,10789888,5902592,NA,2625280,NA,3924992,NA,NA,NA,607584256,5387776,3145216,1886720,NA,NA,NA,2569472,NA,NA,NA,504224,2465280,NA,1571776,NA,104341504,NA,NA,1067648,6043136,2749952,NA,18587648,NA,10529792,2214400,NA,16537600,969536,NA,NA,NA,NA,1246784,NA,NA,NA,538112,3437824,10622976,NA,3856128,NA,31698944,NA,3109376,1278912,NA,2749184,1172864,NA,NA,NA,NA,NA,2204672,980416,2424307712,598933504,NA,1563840,NA,23176192,NA,NA,NA,NA,NA,NA,NA,NA,617024,1076288,5609216,1277952,572736,6497024,NA,NA,602752,NA,NA,1837120,NA,NA,NA,NA,NA,NA,NA,NA,NA,918028288,NA,24317952,NA,21156864,2177024,NA,NA,2252032,NA,1771712
"49B",NA,NA,5620224,NA,119160832,NA,NA,NA,NA,NA,61259776,10220544,31092736,5536256,NA,NA,55558144,NA,NA,NA,NA,NA,NA,NA,NA,NA,44630016,NA,16985088,NA,NA,142868480,NA,NA,7135488,NA,NA,NA,NA,47644672,NA,NA,10256384,37949440,NA,NA,175390720,NA,NA,NA,659648,NA,NA,NA,15260672,NA,NA,NA,NA,538752,176029696,5490944,NA,113500160,52690944,NA,NA,2902272,6892544,NA,NA,NA,NA,241238016,NA,NA,NA,2048896,NA,4508416,2416896,3634176,NA,47509504,37457920,4359168,1958784,1775552,NA,NA,2075904,NA,85958656,NA,13573120,NA,46698496,33090560,33894400,3554048,NA,341508096,45228032,NA,NA,NA,2201344,NA,NA,18122752,NA,NA,NA,3051520,NA,NA,NA,67510272,NA,4463616,1198336,NA,3879168,NA,4555520,NA,NA,NA,NA,NA,5053696,569901056,1376518144,NA,NA,NA,NA,4986880,NA,NA,NA,339520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1296896,NA,NA,NA,NA,4987392,975360,1849664,NA,NA,158515200,NA,8679424,NA,203718656,1630976,NA,NA,NA,NA,11126784
"55B",NA,NA,7010304,NA,29245440,NA,NA,NA,NA,NA,157089792,NA,67825664,4216064,NA,NA,1822784,NA,NA,NA,NA,8697856,NA,NA,NA,NA,3264256,NA,13623296,NA,4527360,NA,NA,NA,10110976,NA,NA,NA,NA,1268224,NA,NA,6027520,NA,NA,NA,5661952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5782272,8018944,NA,2743552,3778048,NA,NA,1840320,NA,NA,37056512,NA,NA,NA,NA,NA,9714688,NA,NA,1184448,NA,NA,NA,23830528,NA,1905408,1337152,NA,826432,NA,NA,NA,2852864,NA,NA,NA,26326016,1571264,23341056,1607744,NA,65265664,5688064,NA,NA,NA,380576,NA,NA,2816768,NA,NA,NA,NA,NA,NA,NA,83632128,NA,NA,NA,NA,1212736,723712,NA,NA,NA,NA,NA,NA,NA,1009451008,92078080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222768,NA,1009536,NA,NA,NA,NA,61018112,NA,8502272,NA,34222080,2122496,NA,1524224,NA,NA,23273472
"61B",NA,NA,7201536,NA,43913216,NA,NA,NA,NA,NA,49975296,2390272,23516160,1856960,NA,NA,13225984,NA,NA,NA,NA,6205440,NA,NA,NA,NA,39297024,NA,12173312,NA,NA,81768448,NA,NA,4326144,NA,3039232,NA,NA,8017152,NA,NA,5025024,6077440,NA,NA,63778816,2397952,NA,NA,1985024,NA,NA,NA,9425920,NA,NA,NA,NA,NA,23585792,40771584,NA,19847168,8899584,NA,NA,2108416,4364544,NA,NA,NA,NA,30416896,13079552,NA,4158720,1617600,NA,2227968,1674944,4481280,NA,32186368,NA,NA,1551680,1546944,NA,NA,1003840,NA,49115136,NA,NA,NA,22489088,NA,22256640,1411840,NA,272875520,148307968,NA,NA,861824,2311936,NA,NA,118632448,NA,NA,NA,9884672,NA,NA,NA,44425216,NA,3845888,962944,NA,1445056,NA,NA,NA,NA,NA,NA,NA,2059008,1428357120,NA,NA,NA,NA,NA,1057728,NA,NA,1049856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2080768,NA,516016,NA,NA,527552,NA,1025408,NA,NA,377847808,NA,8265728,NA,60456960,NA,1978112,1441408,NA,NA,7389440
"63B",6606080,NA,5819136,NA,18084864,6120960,NA,NA,NA,NA,166625280,NA,93900800,5009408,NA,NA,18057216,NA,NA,NA,6045440,6189824,NA,NA,NA,2486784,NA,NA,13920256,NA,991680,3001600,2267392,NA,5096448,NA,6686976,NA,NA,4065536,NA,NA,6747392,NA,558144,NA,88043520,NA,NA,NA,NA,NA,963136,NA,NA,NA,NA,NA,NA,NA,NA,4378880,NA,NA,9812992,NA,NA,2000768,1436672,821824,NA,NA,NA,23283712,NA,NA,8258304,NA,NA,NA,NA,NA,18069504,25028608,3114752,NA,NA,2692864,NA,NA,2126592,NA,3312896,NA,NA,NA,6971392,2594304,9888768,1379072,NA,31666176,4294144,NA,NA,NA,NA,NA,NA,2501632,NA,NA,NA,7067136,403648,NA,NA,75304960,NA,2067072,512464,NA,1110784,NA,NA,NA,NA,NA,NA,NA,NA,44843008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4415232,884736,NA,NA,NA,44040192,NA,8449024,NA,14978048,NA,2285312,NA,2797312,NA,25321472
"65B",4983296,NA,9178112,NA,3851520,NA,NA,NA,NA,NA,28759040,4459264,16503808,575616,NA,NA,NA,NA,NA,NA,NA,11597824,NA,1341504,NA,NA,1385984,NA,13521920,NA,NA,582272,NA,NA,NA,NA,3847424,NA,NA,NA,NA,NA,3590400,2210560,701952,NA,67317760,NA,NA,NA,NA,NA,1218432,276496,5061632,NA,NA,NA,NA,NA,6642944,35020800,NA,4483328,3517696,NA,34422784,1990912,NA,NA,NA,NA,NA,36491264,4222720,NA,5253376,NA,NA,NA,NA,NA,2110464,13407232,NA,2736128,NA,7862528,NA,NA,920832,NA,2497280,NA,NA,NA,8423424,1185024,8710144,1283200,NA,853475328,6801664,NA,NA,1541824,NA,NA,NA,1605056,NA,NA,NA,233209856,1640384,NA,NA,59801600,NA,1190784,2655232,NA,1636608,914880,NA,NA,NA,NA,NA,NA,NA,802226176,NA,NA,NA,NA,NA,1086272,NA,NA,NA,NA,NA,NA,NA,NA,959936,766272,NA,NA,NA,NA,NA,1108606976,NA,NA,NA,NA,NA,918016,NA,NA,NA,NA,NA,NA,357810176,NA,17916928,NA,2673152,2144512,2206208,NA,2157824,NA,4671232
