"","stearic acid","elaidic acid","myristic acid","cholesterol","oleic acid","lauric acid","palmitic acid","putrescine","fucose","tyramine","hexuronic acid1","sulfuric acid","urea","leucine","valine","alanine","arachidonic acid","1-monoolein","linoleic acid","aspartic acid","gluconic acid","1-monopalmitin","glucose","isoleucine","succinic acid","lysine","proline","2-monopalmitin","phenylalanine","tyrosine","cellobiose","glycine","glycerol-3-galactoside","histidine","arachidic acid","tocopherol alpha-","mannose","hydroxylamine","pentadecanoic acid","heptadecanoic acid","citric acid","ornithine","serine","tryptophan","mannitol","threonine","4-aminobutyric acid","monomyristin","lyxitol","uric acid","phenylethylamine","ethanolamine","behenic acid","docosahexaenoic acid","5-aminovaleric acid","isohexonic acid","lactobionic acid","ribonic acid","N-acetyl-D-galactosamine","trehalose","trans-4-hydroxyproline","saccharic acid","2-monoolein","lactic acid","hexadecylglycerol NIST","beta-gentiobiose","syringic acid","isoheptadecanoic acid NIST","zymosterol","N-acetyl-D-mannosamine","creatinine","gluconic acid lactone","1-monostearin","N-methylalanine","ribose","butyrolactam NIST","caffeine","methionine","cystine","xylose","levoglucosan","butane-2,3-diol NIST","alloxanoic acid NIST","2-hydroxybutanoic acid","maltose","raffinose","nonadecanoic acid","pseudo uridine","methionine sulfoxide","xylonic acid","capric acid","tocopherol gamma-","uracil","UDP-glucuronic acid","thymine","erythritol","alanine-alanine","isothreitol","glyceric acid","malic acid","tagatose","tyrosol","xanthine","N-acetylaspartic acid","lignoceric acid","squalene","2-hydroxyhexanoic acid","dihydroxyacetone","galactinol","dihydrocholesterol","xylulose NIST","fumaric acid","methyl O-D-galactopyranoside","2-hydroxyglutaric acid","N-acetylputrescine","4-hydroxyphenylacetic acid","isothreonic acid","cysteine","pyruvic acid","6-hydroxynicotinic acid","asparagine","galacturonic acid","acetophenone NIST","hexitol","taurine","threonic acid","indole-3-lactate","thymidine","nicotinic acid","lyxose","glutamine","lactitol","xylitol","benzoic acid","2-hydroxyvaleric acid","n-acetylglutamate","1,2-anhydro-myo-inositol NIST","3-hydroxybutyric acid","3-phenyllactic acid","palatinitol","phytol","delta-tocopherol NIST","glycolic acid","sebacic acid, di(2-octyl) ester NIST","beta-mannosylglycerate","3-hydroxypropionic acid","xylonolactone NIST","propane-1,3-diol NIST","glycerol-alpha-phosphate","hydroxycarbamate NIST","inosine","homocystine","epsilon-caprolactam","maltotriose","2-ketoisocaproic acid","methyltetrahydrophenanthrenone1 NIST","indole-3-acetate","2-deoxytetronic acid","stigmasterol","2-deoxytetronic acid NIST","parabanic acid NIST","1-monoheptadecanoyl glyceride NIST","alpha-ketoglutarate","maleimide","5-hydroxymethyl-2-furoic acid NIST","isocitric acid","pipecolinic acid","cholic acid","phenylacetic acid","nicotinamide","adenine","fructose","2-deoxypentitol NIST","N-acetylornithine","n-acetyl-d-hexosamine","urocanic acid","orotic acid","pyrophosphate","aconitic acid","digalacturonic acid","4-hydroxybenzoate","shikimic acid","phenol","oxalic acid","7-methylguanine NIST","chenodeoxycholic acid","inositol-4-monophosphate","adipic acid","cerotinic aci","aminomalonate","adenosine","O-acetylserine","4-hydroxymandelic acid","uridine","conduritol-beta-epoxide","allantoic acid","2-hydroxypyrazinyl-2-propenoic acid ethyl ester NIST","xanthosine","dodecanol","tocopherol beta NIST","beta-alanine","guanosine","hexaric acid","2-picolinic acid","3-hydroxy-3-methylglutaric acid","phosphoethanolamine","5,6-dihydrouracil","3,4-dihydroxyphenylacetic acid","2,3-dihydroxybutanoic acid NIST","homoserine","pyrrole-2-carboxylic acid","adenosine-5-monophosphate","4-pyridoxic acid","erythrose","azelaic acid","citramalic acid","cytosin","3-aminoisobutyric acid","glutaric acid","maleic acid","tartaric acid","erythronic acid lactone","malonic acid","glucose-6-phosphate"
"WANDRO_30",9467148,5773333,4740279,2192159,2283446,3327247,961923,319153,24568,1666749,7521,2430,753,333859,402107,358897,638204,160639,787713,33233,204,47483,179922,186744,591352,30204,356804,17248,135254,121325,75181,18959,173897,10687,305614,437169,6936,107895,352862,220199,2087,235243,6353,101058,3866,9462,3997,19289,3599,21976,99227,74299,91871,228176,15573,328,18556,5640,9959,168236,3815,460,18646,13400,86239,5314,97058,78129,76498,1693,56162,610,8938,25412,27953,983,24162,13270,16872,9497,2337,250252,15463,3910,86304,60364,30249,2398,6979,15483,16613,35234,9919,1172,4363,671,2634,8223,13933,9665,2537,2054,3880,12680,22596,29073,9430,19492,5839,3434,16991,6323,9874,10568,593,6880,3849,5840,47814,380,847,507,16474,4602,2843,2534,26868,549,17256,1233,80896,553,1270,3226,1493,613,3641,5689,19962,3453,3958,10729,2622,5233,8782,51627,9994,68810,1006,9641,6731,1565,4401,777,623,2838,3272,1019,2492,626,1325,596,7778,1652,94,359,357,1624,1230,5174,1906,8235,622,1676,6012,512,2814,8710,269,1490,751,1815,1206,100,353,793,776,647,1879,212,3835,244,165,1581,449,87,732,370,953,1018,908,1066,347,352,156,303,137,253,127,2405,719,1055,150,384,1234,300,154,102,357,429,58,138,159,144
"WANDRO_31",7984182,6157760,5305921,2498793,6093952,390208,2823844,678562,3356,69026,18404,2003503,984171,19093,56497,92303,359131,131374,874248,23304,970,387013,34529,38747,21654,26304,2966,62048,60767,13578,163657,23180,1547,2424,129547,49130,9304,153061,131380,155780,3547,4196,16295,55908,4161,12175,1173,40199,89561,187058,317,13808,73706,89304,1205,138,11022,7923,1024,1616,17329,138,22349,11874,275246,4808,9272,47122,57227,82,4341,767,22219,2550,41047,3790,43251,1935,3266,3018,758,12652,27368,6641,9264,38994,13685,29910,3719,6261,4531,15798,11618,3969,20139,13191,1709,7827,4903,5082,865,336,1304,2740,18371,19796,1606,16091,36403,11549,2412,5336,2131,681,116,4547,371,344,19019,2994,491,1486,7490,9732,598,4643,1349,2016,12101,1357,237,660,2584,7172,3239,3573,702,4485,2069,17640,460,1715,2709,5001,447,3598,22004,353,1642,917,4243,6156,195,449,839,1614,4737,1280,5236,715,1323,2618,1830,1144,2906,154,137,2791,1049,1123,836,401,1793,262,1149,528,1049,440,379,1024,357,788,1136,805,1697,733,736,1003,2899,156,7613,109,580,633,197,401,836,1107,1014,1260,144,836,339,584,397,512,88,390,207,270,179,537,484,326,736,144,352,85,1738,131,78,216,390,273
"WANDRO_32",3100517,1872057,239601,6466955,292950,27729,636737,603649,560507,1478672,263877,8537664,2052025,33001,244682,1796430,405464,278215,99239,79201,8432,65805,168550,138771,1008984,38593,51565,46977,141975,86925,337040,293838,2450339,7419,90099,139970,5760,392865,43528,70082,47291,12709,1482258,26551,11744,80765,141659,2807,59824,4080,3784,230607,61017,33189,3464,1677,29020,12192,85033,8076,35368,1327,35392,297186,45644,23451,72112,14834,24246,1420,56993,5237,23870,6785,26369,184568,63312,13940,123172,53625,19300,179409,2101,50080,18310,27806,16194,2887,19975,8740,1414,23861,22345,7132,42883,31776,3981,23359,65703,12279,40396,53508,6139,8043,24187,9209,48884,29893,6925,25908,2218,12317,12847,176023,4053,22462,9568,3129,7870,1668,687,3195,4510,47563,209,10626,14350,42599,26599,20418,953,1784,16179,11558,7069,5210,8791,10715,21051,24435,953,915,1004,9517,2660,15049,6071,1862,31369,3097,17423,10515,6997,1124,10455,4334,1405,1429,8838,4492,2047,1602,2684,2573,2430,1605,505,13743,24100,15244,5057,19315,2059,819,3213,2816,4134,1799,1145,2989,1046,5772,5329,2744,882,3703,2012,2831,4869,840,6145,3587,661,1031,469,759,4023,3261,2018,855,1139,1205,278,804,643,7496,870,783,406,4352,263,714,1728,1100,684,8805,2074,2310,876,287,780,625,1719,1853
"WANDRO_33",5773273,581494,5103169,1551453,3545175,547232,888616,2875277,2018037,2433480,13258,16075,410658,697749,551339,1131596,157094,130096,391201,15506,31761,94878,1035431,262637,2475323,78764,456745,35919,271709,16267,357548,117574,34465,185049,104247,73760,2059267,96992,188694,206737,821,42275,104117,172889,32127,50796,333264,16827,23770,19358,14541,337934,34379,15124,2721,869,6379,5575,167120,45969,6730,723,6132,58467,31727,6983,3912,86106,47085,46877,19668,24103,8290,16830,14251,38778,31083,20712,8491,9704,45695,5708,3335,8396,125937,1266,17562,6106,45935,5559,4172,5661,18202,4268,8348,19339,7870,4070,73615,12241,15009,847,14883,7220,9464,14917,23698,5794,30344,2163,1388,11298,41342,19016,20793,645,9619,3234,203,168,230,1829,3269,8765,5935,4746,550,1955,9326,651,1135,4023,3720,2989,2162,667,12905,4543,933,11189,1078,1016,1852,3347,230,697,10620,247,2693,5813,10159,1141,711,6317,1664,1463,454,709,3260,919,1699,1386,75,78,862,131,256,768,694,2000,12047,1677,660,970,3341,3260,3005,5296,1808,776,511,3038,1090,265,1097,5190,4035,672,1000,895,1208,5080,184,1433,182,1382,430,2278,526,464,832,1436,268,384,305,2759,1594,136,505,995,715,1223,316,564,230,3384,689,868,197,570,139,126,239,71
"WANDRO_34",3274667,352024,6015493,707453,440556,4009606,1968189,714301,712955,78332,23154,143,122756,776360,608983,2935506,1049091,225242,397436,23761,1763,272226,352817,1374563,841944,44299,202994,70807,1069777,3071556,17752,326096,214500,200948,297451,485836,24520,68053,487489,184730,252,28265,205016,53268,2978,178288,611773,43532,7085,36214,813,222938,126382,170607,5340,2107,6790,8204,683677,1539,97706,42,26427,17546,77778,6462,64414,154645,21654,18955,1985,8521,15014,85339,87383,1313942,20169,181595,69713,48760,2320,2614,954,10385,5355,984,107270,68241,34248,9432,103632,24664,114781,3663,37705,8027,14662,5461,20450,4342,11467,685,37866,20299,26771,14785,8178,14035,4143,857,9295,2485,13120,1471,7628,3010,10481,16259,1375,458,857,582,14970,2729,1576,4476,198,11420,13844,1161,1346,391,7185,2209,13693,858,5038,1713,2863,2615,2967,8317,70,2609,12224,2561,385,2167,2662,1735,3050,5749,647,235,2144,2031,3990,1359,681,1401,4410,1481,124,2212,112,60,143,943,2398,1315,19052,2997,288,866,3943,2422,768,1579,591,320,1168,645,79,48,399,3018,7388,754,2042,1622,1003,24965,533,1091,436,4470,412,548,693,750,1010,411,175,360,185,3367,7744,223,231,1246,1638,834,687,451,334,1414,867,389,199,394,83,252,112,79
"WANDRO_35",8975859,4004721,4686836,1712735,1421189,796460,2857530,3801710,7339,3638360,5709,287,208884,459478,603686,131182,1085801,42023,470360,26731,514,89196,84015,199914,62510,16639,341807,18222,92243,58312,23797,20196,8110,53925,405144,105533,2436,65044,370832,280960,1654,22659,6552,34824,1092,4943,3542,5194,461,19035,425148,186460,129370,289078,3681,548,11243,29922,1561,48647,7880,638,5356,2461,68494,11799,46544,142061,28927,424,25395,184,7751,30455,22598,1079,9284,12457,6121,48109,1398,64198,253692,1377,23995,16295,37390,10123,13771,23434,8018,18128,3299,5355,1941,170,4055,6776,11512,3913,18327,3256,1052,3635,23915,11774,13223,10405,5311,2998,16128,3131,8284,2827,7766,180,3409,1968,371,210,4649,645,21566,11452,1189,8621,2683,552,5957,4079,25666,415,481,1807,576,482,1691,3438,10142,2487,3371,5474,1998,3538,9182,1103,5214,238,470,7552,2458,8642,3787,564,2082,3087,625,700,1308,329,1356,734,174,1936,101,146,488,1372,303,967,599,1626,567,2971,1137,868,842,6075,2498,1497,228,841,995,185,653,510,8511,622,2419,387,700,727,168,808,259,119,585,207,530,660,493,217,253,203,69,143,733,151,98,596,788,663,105,225,576,90,99,31,185,399,201,313,139,280
"WANDRO_36",7776312,4483199,3839641,1840867,4407151,200664,217,754648,8491298,1059759,67479,1241,343180,157449,271008,240899,487263,141444,523728,17989,50267,186893,54651,91898,51205,67738,219091,36088,58737,41763,36160,171248,7369,88363,348697,52000,3207,75973,195725,333895,6571,62101,13679,138447,46683,147137,33194,6117,12226,32543,199018,99289,100518,227876,1780,31511,7726,10731,1296,30535,20770,26971,18002,4875,50446,7623,45733,97485,26555,417,60418,6398,16388,10628,9115,702,9279,3255,29128,15849,68130,19125,124107,4816,14697,5204,32449,13417,14968,9912,2522,11627,1452,111515,1280,3265,1811,5830,4616,1210,2297,1465,6797,10080,32442,6997,9502,3972,3351,1815,4514,1563,2314,3354,48854,2653,4554,23495,1076,108,11577,2527,9594,26816,8061,13663,17189,251,1125,1285,26890,591,5234,3154,2462,914,1161,3698,5300,2029,684,1424,1793,3619,281,668,7340,248,1849,3729,2224,3113,4417,5583,1817,1252,756,866,1295,1160,781,1295,129,2136,427,456,633,1223,396,1616,727,930,1125,1043,948,778,7462,1729,497,1025,185,1464,972,402,917,676,4146,559,3962,1468,1235,164,185,1675,142,154,706,203,702,629,551,336,1515,274,289,100,173,477,178,385,251,535,173,1570,276,184,95,59,129,329,185,223,111,72
"WANDRO_37",7737974,3308780,4386872,1114805,1546372,860885,2478945,2075643,6026117,2007058,43402,3385,300221,141489,206517,205465,1020523,325118,474872,25416,38844,510682,43905,76746,47425,92122,163358,67581,52081,37704,44813,138321,7183,89895,559890,23974,6194,23135,366982,289421,7968,82175,16989,57584,67143,93610,51329,12286,11571,18771,297048,82355,130798,404087,1091,15052,13612,8591,104597,47804,18446,17463,31854,4009,83479,10381,40632,119144,28883,276,47617,5921,33524,10666,14345,474,9086,1729,25626,13245,46105,14769,187048,2718,24322,4589,41961,15841,17453,7240,3447,10835,3740,3331,1499,2644,1849,4713,4345,1664,8131,1175,2967,15939,51350,9351,7718,2432,3327,4088,6255,1242,4471,2170,36921,2287,4015,9277,649,63,630,3238,11403,16445,7490,13218,7637,482,3057,5222,43308,749,4259,1966,1976,1020,1091,2600,4760,2536,663,1354,1679,2668,411,618,7953,172,1202,1921,3007,3005,4014,4773,1386,2135,725,906,1981,1548,818,2213,110,632,569,359,479,1394,411,1907,603,545,1106,1373,1016,296,4993,1409,1363,608,244,1205,608,471,492,544,7144,444,4800,1490,1156,110,223,1446,134,84,581,326,544,631,298,339,193,176,451,67,67,141,174,298,129,382,212,731,338,148,107,25,161,167,122,199,116,142
"WANDRO_38",3679177,2091211,54162,8307205,115623,15859,345648,413223,108232,163820,178247,7166499,3867083,56588,220935,292157,117764,80544,11260,194867,2500847,5736,238522,325973,203378,175732,194086,3502,228492,492569,22151,215202,1816667,23794,136539,18610,38838,224117,14996,58180,36311,14310,182226,37404,23252,71496,15754,323,47646,120666,1594,198199,36208,40729,2812,486187,4591,6212,3514,2622,58194,415209,16296,152028,36568,8409,226676,7418,27695,1044252,72344,243640,9622,16797,27265,1101,84197,85488,40029,65913,1830,22477,1813,58940,2304,447,37183,39759,35351,4912,2440,4457,26494,8317,38350,64251,9892,15676,51272,28392,4367,3801,39995,8346,10655,11953,6037,18741,8492,31581,23133,27583,11372,4948,904,1769,22564,48064,28159,333,1643,35227,3344,10417,5498,11068,2012,37783,23225,38909,2348,523,13319,25072,8402,5118,9462,7058,10072,15934,1786,875,8251,8477,7512,3371,41074,1176,23864,1303,6698,8305,36848,523,29462,4200,1244,2078,10337,15905,4343,491,22863,3461,8344,804,1361,4426,2977,8013,3247,6847,3242,894,8091,4241,2554,1483,629,3889,2387,7855,3964,3016,4793,1701,1074,5622,1572,1150,413,1927,600,454,506,270,2452,1067,1937,348,6061,656,3169,4591,2151,1397,911,892,4205,2430,775,535,1123,1288,566,595,2712,245,440,182,2729,588,515,209
"WANDRO_39",2607544,261796,64592,6522086,112147,4546,256267,390428,102227,278870,93628,1705616,3969015,90545,595434,665149,161287,14901,32099,131700,5469578,10100,393055,823403,304569,310796,859280,23946,374709,704710,40826,321603,3310536,71657,68906,9861,48972,309007,17890,47294,51006,46876,1687952,83924,42618,129240,15381,884,64372,151227,3132,278092,42085,21397,5213,658200,6388,6283,2568,4983,140314,554584,8435,413618,19698,10441,203768,6460,1678,888771,103684,455492,12293,88619,9759,3867,66341,165960,61749,39777,2236,14237,4614,37467,2450,453,18644,64781,30372,6317,2106,2856,34428,10761,65141,69160,14560,18423,46529,37080,5278,1572,35817,8627,5424,3172,6456,48364,14780,14181,22452,33749,9558,5111,983,1520,30204,208101,36332,313,2016,45114,3799,9762,11313,16963,2713,50734,20969,20021,20666,1544,15676,18665,14643,4248,6559,5312,9300,19069,1395,2217,11688,11316,7393,4233,9114,1368,25255,5228,3309,3055,48172,561,2475,6432,2109,5681,6441,29172,6010,602,22132,2962,11303,1154,3715,3058,2354,10928,2453,1687,5743,1513,10392,3948,2881,7244,657,5870,2552,7024,8227,5923,7827,2717,995,4397,1219,1597,1194,344,955,270,385,7725,3247,1613,2155,521,4214,688,3073,4397,3969,2118,1045,778,5418,2230,1231,546,1188,2397,614,682,6466,183,490,1259,1045,412,447,189
"WANDRO_40",7122984,5865964,2656563,2738615,1547039,434238,2848634,4167671,31713,260462,14922,593,540976,189161,123165,56511,3165785,1076174,855366,28881,1031,160560,23113,224415,156771,285562,89097,31023,65191,275449,31978,51911,3893,85009,197629,321460,15709,97719,133264,39943,7371,18850,14223,83166,9650,8595,2009,9709,20155,32757,1065,252194,246295,121480,3429,1800,46075,826727,1559,7686,11022,1800,71894,2816,52737,66702,33069,30563,72726,244,12573,652,60764,6021,17929,2247,16747,23082,9182,20583,71599,30996,4881,1987,13407,5907,23227,28943,54378,363588,59570,164404,3834,28972,3098,1399,2105,50316,16882,17353,14887,10978,21613,5304,25892,14124,6819,8506,19189,6160,8660,8272,61255,2201,428,1568,5972,10815,4922,762,997,3290,13416,8283,4302,9102,6371,619,10231,5519,12714,1200,3204,7345,3094,2689,3490,8375,3540,1051,14421,53945,2545,6215,22051,2299,673,322,2903,8279,7173,1653,4150,13024,1940,5906,1404,5316,12977,2145,3895,1802,1539,11740,1251,721,468,5982,914,4285,1733,2007,8309,656,2245,906,4203,6347,2836,982,342,1887,718,339,741,1311,576,1015,913,985,1441,324,266,775,3295,624,1069,494,1376,4419,650,1875,632,1361,521,766,737,240,443,1352,1383,1707,307,902,1151,204,291,215,375,936,449,388,199,132
"WANDRO_41",9267092,5176457,1685536,3183634,4051260,414328,2839391,1928202,20058,138526,16259,1884,260752,273005,202003,57957,3922624,270101,810192,10194,423,39492,15195,224416,157256,152989,104941,19837,60566,199110,25941,42071,3484,50861,212908,819188,11314,106988,98310,45405,2701,10813,6513,90619,5174,3621,1381,3080,12865,21890,848,197749,238723,136083,2546,787,20337,378539,1570,3680,10319,787,30601,2294,51367,43100,23255,10903,99470,259,9659,576,23889,8281,4222,1936,14314,26146,6267,15808,57144,21646,4731,2235,4339,2329,85472,21395,30439,160310,52543,277749,2026,22011,2387,758,1812,42057,10924,12009,13072,10191,25142,3429,25257,14875,4728,3208,13106,7800,4344,7822,35406,1658,180,1188,3780,7249,2143,503,464,1782,17222,16308,2468,6514,3052,385,9349,3926,1122,603,2528,7181,2329,4601,2160,9174,2630,2006,17600,88748,2730,8071,456,1801,699,339,1664,9276,2600,1361,5950,8615,1434,5245,649,4971,23158,1620,2590,597,1421,5866,1038,566,634,9147,961,1722,2422,321,6498,430,1529,1036,4415,4306,1106,594,227,1628,799,287,507,1464,556,1061,1838,740,1490,329,178,727,2642,643,923,298,1134,7356,494,534,612,1073,516,302,401,208,370,1847,1066,1081,239,742,1181,189,257,202,310,674,317,301,211,125
"WANDRO_42",7098935,6009003,2090886,3401562,5798162,205071,2242107,4822116,11349,9730,146991,113687,286635,232978,471111,538117,579340,143915,592194,45289,1404,310596,29717,206594,817247,1069,76776,21024,199638,28875,69625,326949,26498,2218,101313,130799,7454,140491,88313,140286,67076,2683,7373,108515,4746,3120,759,5197,27053,50418,547,72854,44188,187090,824,23591,48040,6360,495,6575,24501,20015,8889,87147,219158,51256,29245,62954,82705,396,35720,279,20423,250587,7724,1823,25357,8153,2011,16821,6942,4598,67723,41944,9474,19319,12207,1658,4035,5593,4989,17558,6553,1271,12400,8261,1893,4452,6924,7543,18524,286,6386,2075,16256,32878,1739,2340,3014,9129,1416,8244,9482,7159,127,740,3142,3827,296,116,414,48383,6562,4300,994,8265,7555,185,5389,1724,481,2235,11766,4501,2773,3993,367,4234,4310,2348,482,1421,2822,5159,27759,623,1034,285,624,2199,1490,896,240,14816,1442,1925,1052,2902,4160,2260,1462,1085,285,86,2711,1889,148,2951,406,1706,2026,180,1272,1604,565,856,670,741,967,1797,162,1975,2753,773,1046,940,6229,677,3032,461,634,118,251,175,156,350,773,379,809,1835,96,177,501,753,301,118,125,371,855,617,462,560,440,448,755,133,175,110,228,182,156,160,224,90
"WANDRO_43",1733859,6653328,1906887,2719583,5148620,1308974,3127856,2132833,80976,355914,17737,1590,59900,76709,67424,165780,3349020,2223796,698874,31429,919,754397,364653,36850,40012,235986,793609,185144,36393,20451,46890,103163,20671,59685,362466,38448,4041,1161,54251,72292,1808,41098,24560,81682,8048,45739,10331,65970,10619,243,14963,37109,173359,62776,10086,233,43130,1098643,7481,5073,680185,233,256965,16618,33065,67890,3202,18400,72844,1035,12427,928,22362,16361,33514,49711,2445,2721,8518,9974,146040,16667,18016,14466,7790,3734,50923,23754,12061,70810,199576,23662,2110,44230,3589,1028,39390,40996,78878,2946,44552,825,432,6696,17046,21770,7688,3670,15937,8920,8778,9291,28062,16588,933,49769,6325,18496,6380,963,2186,1389,25051,6847,5599,23846,8988,989,16151,10636,1704,931,1695,5501,3247,18854,10349,19569,3330,4631,37385,21572,12042,10538,2070,14688,880,37820,1446,411,28866,9636,4360,7534,2365,5087,4373,3801,14756,1117,23594,2637,2783,21527,286,436,1356,12296,29309,1739,2388,2971,1725,2916,1284,1867,1097,2893,1461,1670,651,9238,1992,277,1407,803,9740,2168,1545,7254,1178,1097,561,4374,3102,355,1347,630,1295,657,724,3193,629,801,212,178,1851,279,299,719,5280,672,715,2242,7886,1601,1438,141,902,1351,569,1299,221,527
"WANDRO_44",3362695,8384193,521365,3310260,5936636,112562,1264981,1855783,49222,1783342,29157,859,330569,511289,626155,697160,419291,37041,533330,46670,392,31830,84740,373202,104931,1808417,301344,17935,170581,70013,118672,172026,4690,393873,41099,537872,120786,67928,40857,33329,7231,319159,17471,648766,64453,8346,5271,3848,37141,168711,2150,18592,49314,30259,5885,2292,106935,1111840,2891,12431,51338,476,11821,11803,43880,154982,25044,14489,98100,938,102305,1164,11022,16894,20444,3228,21105,10509,6141,44262,295511,4066,3577,5675,13525,3251,12586,1210,18114,363439,29333,136558,7925,83251,2389,53384,83642,156554,113396,22512,37625,331,1369,10780,5686,15611,3706,6154,19129,10933,7616,14532,96948,10920,247,679,4840,14358,1466,445,825,1885,6755,13777,6253,8716,22578,373,9979,5504,2576,1098,14156,6600,3732,3325,48735,17636,6437,3409,26081,49493,7232,6600,1977,7313,981,2140,2208,10460,8298,7189,2850,15136,2765,4873,1456,35529,9276,5315,2273,528,169,17909,357,659,5286,4540,696,3707,2198,12807,8193,1177,1319,439,17297,6756,1364,3293,392,3086,3623,552,2247,1393,229,8572,547,5489,615,415,468,1219,13178,2416,1320,723,1530,4285,657,2066,489,959,828,370,1283,312,1243,878,675,2313,408,2978,1758,1520,260,184,834,786,578,597,336,216
"WANDRO_45",2019361,9453521,638739,4502604,5757241,163507,1297076,1880679,51854,1098773,32764,1617,418197,433318,578679,658973,518174,59262,1124452,27778,313,13184,96591,388742,99758,1158067,269639,21533,190497,88087,147009,262884,5110,325309,52565,574965,3135,55119,48730,53459,8804,279752,19063,396321,42998,8988,5306,3505,41570,189190,3056,17658,80785,40591,5453,2007,99805,830549,2456,12706,89998,2403,8756,9366,72368,148022,32681,18965,131007,839,137138,1173,11982,17024,24453,2990,23860,13276,5984,25311,351792,4176,4067,4752,13789,50311,12305,3392,22278,246573,29916,134497,9828,99788,3277,69188,71319,185815,126718,11773,39363,257,2086,12067,5899,20009,3844,9994,11486,11352,9085,10237,124484,13191,317,1109,6212,11671,1566,481,1156,2028,9009,16043,9984,11922,23063,843,11214,5274,2152,1400,14597,8245,3429,2384,51414,19699,6457,5946,45874,47547,7521,8711,2156,7270,1126,1692,2637,5927,9471,7900,1064,12041,4097,4637,2056,51562,9017,8634,1675,575,224,18928,536,868,5323,3997,1064,6876,2569,8621,10503,1775,494,468,14321,6668,1249,513,426,2969,7651,494,3426,1296,294,14121,992,4448,764,447,534,1396,14159,3405,1475,513,1400,4346,764,336,445,485,1032,302,1254,496,1905,772,364,2086,751,3314,1851,1713,383,179,855,583,626,756,351,287
"WANDRO_46",790250,438192,99455,2169617,62167,38388,174362,8713906,835400,4456477,42811,42143,674361,1625293,1190944,891338,41640,3220,13977,6147142,289424,3260,628634,376915,139424,2739747,494734,2697,896399,41879,18537,300769,4334,1949035,15596,2559,13897,129661,19452,22426,5191,42120,40323,314777,142629,32263,20431,169,14545,9594,9744,13255,19790,5501,13558,44468,4190,12544,3500,16654,306038,51691,3697,20221,15078,6690,13989,8864,6305,626,49810,26008,2071,599513,14136,1823,36600,61484,262604,31648,8834,21265,1707,39022,3457,12629,4411,6724,25224,6473,919,925,956,24305,3138,15190,155638,5172,7603,10905,5710,7606,306,21929,1573,5135,2966,10838,2379,5176,4120,9543,2795,2136,8726,28126,8142,26562,2798,300,116735,8969,1630,12584,11052,9539,2682,1340,2654,11107,5906,404,4170,5007,3618,63286,9365,6611,3629,1283,687,620,2042,3838,1820,3833,57430,317,1119,3189,2920,775,1198,7071,4741,14556,875,2142,157,1748,4886,1397,882,2109,1271,406,661,547,2444,4202,589,1139,2114,4539,3278,734,3408,556,11654,642,1745,1962,1171,734,3433,903,135,639,407,633,1069,131,814,962,183,4498,903,208,1064,225,1074,608,723,670,853,331,232,1170,474,474,621,373,342,1251,273,168,961,10,141,493,986,139,242,84
"WANDRO_47",528437,61541,45184,1636904,41698,18819,89839,9275534,891408,6835731,53400,99155,875158,1198939,968330,807621,30308,7785,3872,7033826,24928,235,393726,266859,110442,1993478,371219,9143,778750,36590,14282,371795,4083,1698635,15776,3158,10182,108234,11449,14003,7131,98951,36519,239807,67288,26686,16373,97,6432,5614,5211,9339,18334,10636,11840,44587,3687,12813,5247,13421,339997,38043,4699,30089,17859,5544,16922,6405,8655,413,44321,3559,1006,505848,14572,1959,33502,41066,251139,36673,15525,20899,1478,32946,3263,11539,4141,895,123553,5863,610,923,804,22892,2485,9193,155722,3302,8250,9856,7233,9202,281,26441,2295,7261,1991,2477,2453,8924,4138,7231,2145,2378,9391,24768,6958,24659,2696,377,115885,8879,1439,10545,4892,3579,3276,909,3023,2828,3909,294,3618,4758,3490,69994,6480,5814,3078,1361,834,560,2067,4094,1760,2337,48022,247,1384,2693,3991,689,390,3851,3951,14177,863,2141,362,1934,5524,1934,740,1849,1104,328,420,519,2153,1657,432,1009,1705,10708,2497,795,4122,750,11339,345,1913,2002,1087,798,3348,965,156,829,679,804,740,381,878,1214,126,4980,1096,236,1060,207,1319,658,674,633,328,242,218,1122,450,537,589,298,247,1172,487,215,866,153,257,493,1026,160,287,158
